n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime, condition, aqauxdata
1, -0.36926263391695713, -0.9831739912005284, 0.005, [nan], 6.513514930757304, 1.0, -0.36926263391695713, -0.9831739912005284, 6.511064204578975,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
2, 0.765051033083763, 0.7651275803525341, 0.005, [nan], 4.384666696424925, 1.0, 0.765051033083763, 0.7651275803525341, 4.384126823871459,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
3, -0.6532015670831111, -0.6444824487103036, 0.005, [nan], 6.875425466773951, 1.0, 0.765051033083763, 0.7651275803525341, 4.384126823871459,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
4, 0.6205794825971425, 0.7800906321479986, 0.005, [nan], 0.09325135801020189, 1.0, 0.6205794825971425, 0.7800906321479986, 0.09954734039906861,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
5, 0.4962802177193113, -0.6938052104231462, 0.005, [nan], 6.397802796533503, 1.0, 0.6205794825971425, 0.7800906321479986, 0.09954734039906861,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
6, 0.7837600895515586, 0.6108263350058731, 0.005, [nan], 5.180752264376261, 1.0, 0.6205794825971425, 0.7800906321479986, 0.09954734039906861,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
7, 0.23219345577134853, -0.9940251336518586, 0.005, [nan], 6.232553019676515, 1.0, 0.6205794825971425, 0.7800906321479986, 0.09954734039906861,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
8, -0.5465695864829567, 0.01069665439262013, 0.005, [nan], 5.044928416124644, 1.0, 0.6205794825971425, 0.7800906321479986, 0.09954734039906861,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
9, 0.6634843321125221, 0.5399770439745384, 0.005, [nan], 4.034365660411197, 1.0, 0.6205794825971425, 0.7800906321479986, 0.09954734039906861,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
10, -0.8817164815739951, 0.5384475827847384, 0.005, [nan], 6.1652182085730765, 1.0, 0.6205794825971425, 0.7800906321479986, 0.09954734039906861,0, 0, 0, 13:52:25  27-08-20,0.0,host harald-VirtualBox
11, 0.5358622785995959, 0.7867283780371105, 0.005, [nan], 2.8701062377758815, 1.0, 0.625918866915654, 0.7950096338318505, 0.09720066694714427,0, 0, 0, 13:52:43  27-08-20,0.0,AQvalue [0.51],HYPstats {'mean': array([2.03  0.16  0.30])  'std': array([0.43  0.06  0.13])  'min': array([1.26  0.04   0.07])  'max': array([3.08  0.33  0.65])},HYPdraws [array([3.08  0.23   0.22])  array([2.64  0.14  0.31])  array([2.08  0.11  0.57])  array([2.02  0.21  0.27])  array([1.89  0.14  0.28])  array([2.11  0.21  0.40])  array([1.70  0.14  0.36])  array([2.06  0.15  0.15])  array([2.63  0.25  0.13])  array([1.27   0.09  0.11])  array([1.27  0.12  0.34])  array([1.73  0.13  0.43  ])  array([2.31  0.21  0.38])  array([2.04  0.12  0.26])  array([2.05  0.07   0.20 ])  array([1.93  0.27    0.15])  array([2.48  0.22  0.36])  array([2.06  0.15  0.27])  array([2.52  0.33  0.35])  array([2.44  0.15  0.65])  array([1.94  0.11  0.32])  array([2.01  0.15  0.29])  array([2.13  0.11  0.37])  array([1.26  0.04   0.47])  array([2.18  0.16  0.18])  array([1.51  0.12  0.23])  array([2.04  0.13  0.37])  array([1.37  0.15  0.07])],mindraws [[ 0.63  0.72  ]; [ 0.54  0.76]; [ 0.60  0.73]; [ 0.67  0.91]; [-0.65  0.61]; [ 0.58  0.78]; [ 0.58  0.81]; [ 0.68  0.95]; [ 0.46  0.59]; [ 0.41  0.86]; [ 0.50  0.78]; [ 0.47   0.84]; [-0.20  0.96]; [-0.15  -0.65 ]; [ 0.92  0.01]; [ 0.52  0.83]; [-0.65 -0.98]; [ 0.58  0.74 ]; [ 0.61  0.77]; [ 0.52  0.72]; [-0.36  0.65]; [-0.46  0.63]; [-0.02  0.26]; [ 0.37  -0.11]; [-0.97 -0.85]; [ 0.56  0.86]; [ 0.34   0.99]; [ 0.63  0.72 ]; [ 0.55  0.67 ]; [ 0.41  0.99]; [ 0.62  0.89 ]; [ 0.54  0.74]; [ 0.99 -0.61]; [ 0.52  0.79]; [ 0.55  0.67 ]; [ 0.60  0.92]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.51],kindex 9,PIatX [0.36],host harald-VirtualBox
12, 0.6214960195633474, 0.9110402104909534, 0.005, [nan], 1.9697938300229492, 1.0, 0.6176323093008927, 0.7663614480293806, 0.15113276263948186,0, 0, 0, 13:53:02  27-08-20,0.0,AQvalue [0.38],HYPstats {'mean': array([2.18  0.09  0.30])  'std': array([0.48  0.03  0.17])  'min': array([1.24  0.01  0.07])  'max': array([3.29  0.16  0.82])},HYPdraws [array([3.29  0.06  0.23])  array([1.59  0.08  0.43])  array([1.24  0.10  0.17])  array([2.62  0.09  0.34])  array([1.55  0.08  0.35])  array([2.41  0.04  0.76])  array([2.26  0.12  0.33])  array([2.19  0.12  0.48])  array([1.86  0.08  0.14])  array([1.93  0.06  0.16])  array([1.85  0.07  0.32])  array([1.91  0.05  0.82])  array([1.70  0.14   0.14])  array([2.85  0.14  0.27])  array([2.19   0.07  0.21])  array([2.74  0.08  0.12])  array([2.56  0.13  0.22])  array([1.87  0.11   0.22])  array([1.52  0.07  0.14])  array([2.36   0.14  0.24])  array([2.03  0.12  0.31])  array([1.54    0.01  0.36])  array([2.46  0.09   0.22 ])  array([2.70  0.16  0.45])  array([2.67   0.13  0.21])  array([2.09  0.11  0.35])  array([2.58  0.15  0.07])  array([2.51  0.06  0.28])],mindraws [[-0.03  0.52]; [-0.42  0.63 ]; [ 0.57 -0.96]; [-0.16 -0.98]; [ 0.92 -0.16]; [ 0.60  0.77]; [ 0.60   0.77]; [-0.04 -0.25]; [ 0.52  0.25]; [ 0.63  0.87]; [-0.46  0.99]; [-0.63  0.84]; [ 0.16  0.45]; [-0.56 -0.77 ]; [-0.83 -0.70]; [ 0.93  0.86]; [ 0.84 -0.33 ]; [ 0.65  0.95]; [-0.13  0.35]; [-0.45  0.39 ]; [-0.96 -0.56]; [ 0.58  0.73]; [ 0.63  0.84]; [ 0.64  0.85]; [-0.21   0.42]; [ 0.23  0.02]; [ 0.98  0.01 ]; [ 0.82  0.24]; [ 0.59  0.86]; [ 0.63  0.90]; [ 0.96  0.34]; [ 0.61  0.76]; [ 0.16  0.45]; [ 0.34  0.05]; [-0.45 -0.34]; [ 0.08  0.59]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.38],kindex 9,PIatX [0.29],host harald-VirtualBox
13, 0.6152882352454987, 0.7194519723907871, 0.005, [nan], 0.8701074058391138, 1.0, 0.6271590312324062, 0.7837557209016165, 0.24676437518967945,0, 0, 0, 13:53:20  27-08-20,0.0,AQvalue [0.34],HYPstats {'mean': array([1.94  0.10  0.20])  'std': array([0.34   0.02  0.07])  'min': array([1.47  0.04  0.08])  'max': array([2.79  0.14  0.40 ])},HYPdraws [array([1.70  0.07  0.23])  array([1.62  0.10  0.19])  array([1.95  0.07  0.27])  array([2.20  0.10  0.39])  array([1.77  0.08  0.15])  array([1.71  0.12  0.13 ])  array([2.47  0.13  0.30 ])  array([1.91  0.08  0.22])  array([2.79  0.14  0.19])  array([1.76  0.06  0.22])  array([1.99  0.09  0.15])  array([2.37  0.04  0.40 ])  array([1.53  0.11  0.21])  array([2.23  0.12  0.23 ])  array([1.52  0.13  0.14])  array([1.94  0.09  0.23])  array([2.64  0.10   0.14  ])  array([1.71  0.07  0.18])  array([1.49  0.08  0.16])  array([2.16  0.11  0.17])  array([2.17    0.07  0.20])  array([1.47  0.11   0.18])  array([1.90  0.14   0.25  ])  array([1.83  0.13  0.12])  array([1.53  0.07  0.23 ])  array([2.00  0.08  0.21])  array([2.22  0.14  0.08])  array([1.85  0.09  0.08])],mindraws [[ 0.24 -0.29]; [-0.42  0.98]; [ 0.22 -0.34]; [ 0.63  0.83]; [-0.00  0.61]; [ 0.34 -0.44]; [ 0.61  0.75]; [ 0.93   0.07]; [ 0.93   0.07]; [ 0.61  0.78]; [-0.06 -0.82]; [ 0.59  0.80]; [ 0.89 -0.03  ]; [-0.46 -0.68]; [-0.81 -0.54]; [ 0.92  0.26]; [ 0.62  0.80]; [ 0.82  -0.98]; [-0.94  0.92]; [ 0.59  0.64]; [ 0.60  0.66]; [ 0.64  0.77]; [-0.07  0.49]; [-0.82  0.89]; [ 0.70 -0.09]; [ 0.72  0.98]; [ 0.64  0.77]; [ 0.63  0.77]; [ 0.29  0.96]; [-0.41   0.43]; [-0.29 -0.81]; [-0.42  0.89 ]; [ 0.63  0.73]; [-0.22 -0.80]; [ 0.61   0.74]; [-0.62  0.22]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.34],kindex 9,PIatX [0.28],host harald-VirtualBox
14, 0.657204904249517, 0.7916720941775729, 0.005, [nan], 1.552351926707684, 1.0, 0.615442559775686, 0.7833076541969163, 0.0879828312891147,0, 0, 0, 13:53:38  27-08-20,0.0,AQvalue [0.19],HYPstats {'mean': array([2.01   0.10  0.19])  'std': array([0.30  0.03  0.05])  'min': array([1.59  0.03  0.07])  'max': array([2.82  0.17  0.35  ])},HYPdraws [array([2.06  0.08  0.16])  array([1.77  0.10  0.23])  array([1.92  0.07  0.21])  array([1.97  0.04   0.19])  array([1.88  0.08  0.16])  array([2.19  0.11  0.23])  array([1.59  0.09  0.12])  array([1.91  0.14  0.21])  array([1.70  0.03  0.29])  array([1.94  0.06  0.15])  array([1.70  0.04  0.09])  array([1.63  0.13  0.20])  array([1.78  0.06  0.07])  array([2.03  0.12  0.11 ])  array([2.05  0.11  0.24])  array([2.21  0.13  0.24])  array([1.97  0.15  0.17])  array([2.20  0.09  0.17])  array([2.62   0.13  0.18])  array([2.82  0.11  0.35  ])  array([1.77  0.05  0.11 ])  array([1.95  0.07   0.14])  array([2.69  0.17  0.22])  array([1.89  0.11  0.22])  array([1.78  0.17  0.25])  array([1.99  0.12  0.16  ])  array([2.42  0.14  0.18])  array([1.96  0.09  0.20])],mindraws [[-0.94 -0.88]; [-0.94  0.95]; [ 0.83 -0.47]; [-0.80 -0.22]; [ 0.16  0.22]; [ 0.81 -0.65]; [ 0.62  0.79]; [-0.20   0.99]; [-0.01 -0.08]; [ 0.69 -0.25]; [-0.94  0.74]; [ 0.31 -0.34]; [-0.37  0.33]; [-0.36 -0.51]; [ 0.93 -0.88  ]; [-0.97   0.03]; [ 0.84  -0.07]; [ 0.88 -0.47]; [ 0.30 -0.69]; [-0.83 -0.83]; [ 0.62  0.78]; [-0.08  0.74]; [ 0.05  0.49]; [ 0.60  0.79]; [-0.33  0.88]; [ 0.05  0.22]; [ 0.48  0.50]; [-0.31  0.13]; [-0.38 -0.08]; [ 0.83 -0.58]; [-0.99 -0.10]; [ 0.81 -0.59]; [ 0.64  0.78]; [ 0.16 -0.32]; [ 0.69 -0.35]; [ 0.59  0.83]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.19],kindex 9,PIatX [0.24],host harald-VirtualBox
15, 0.1777514633651827, -0.3063641306702124, 0.005, [nan], 4.075029682153248, 1.0, 0.6156788686637685, 0.7853228992988049, 0.09721869114386332,0, 0, 0, 13:53:56  27-08-20,0.0,AQvalue [0.10],HYPstats {'mean': array([1.97  0.08  0.19])  'std': array([0.44  0.02   0.05 ])  'min': array([1.13  0.02  0.07])  'max': array([2.88  0.15  0.35])},HYPdraws [array([1.35  0.06  0.17])  array([1.99  0.07  0.26])  array([1.91  0.06  0.18])  array([1.82  0.11  0.17])  array([2.88  0.10  0.17])  array([2.08  0.12  0.24])  array([1.67  0.09   0.16])  array([2.01  0.02  0.18])  array([2.52  0.06  0.18])  array([2.51   0.13  0.35])  array([2.56  0.10  0.22 ])  array([1.95  0.10  0.13])  array([1.85  0.05  0.21])  array([1.96  0.10  0.13])  array([1.13  0.06  0.12])  array([2.74   0.12  0.24])  array([1.51  0.08  0.16])  array([1.66  0.08   0.18])  array([2.87  0.15  0.26])  array([2.16  0.07  0.18])  array([1.64  0.06  0.20])  array([1.44  0.08  0.13])  array([1.76  0.08  0.19])  array([2.09  0.12  0.26])  array([1.52   0.08  0.13])  array([1.73   0.08  0.07])  array([1.73  0.10  0.15])  array([2.00  0.06  0.16])],mindraws [[-0.51  0.67]; [ 0.01  0.67]; [ 0.44  0.47]; [ 0.31  0.10]; [ 0.27  0.71]; [ 0.21  0.65 ]; [ 0.59  0.81 ]; [-0.05 -0.09]; [-0.07  0.80]; [-0.96  0.22]; [-0.34  0.89]; [ 0.19  0.19]; [ 0.53 -0.00]; [ 0.62  0.82]; [-0.24 -0.36]; [-0.92 -0.25]; [-0.01  0.28]; [ 0.59  0.81 ]; [-0.00  0.12]; [-0.53 -0.54]; [-0.69  0.27]; [-0.51   0.41]; [ 0.99 -0.89]; [ 0.71 -0.85]; [ 0.16 -0.25]; [ 0.59  0.79]; [-0.34  0.89]; [-0.86 -0.74 ]; [ 0.82 -0.96]; [-0.87 -0.34]; [ 0.97 -0.01]; [ 0.19 -0.33]; [ 0.18  0.98]; [ 0.85  0.26]; [ 0.16 -0.48]; [ 0.60  0.83]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.10],kindex 9,PIatX [0.02],host harald-VirtualBox
16, -0.30810052749010197, -0.2514472161561563, 0.005, [nan], 4.457300426612374, 1.0, 0.6157624642638401, 0.7832941817644928, 0.08376483803349105,0, 0, 0, 13:54:14  27-08-20,0.0,AQvalue [0.11],HYPstats {'mean': array([1.83  0.08   0.17])  'std': array([0.37  0.02  0.05  ])  'min': array([1.30  0.04  0.07])  'max': array([3.03  0.15   0.25])},HYPdraws [array([3.03  0.15   0.19])  array([1.85  0.07  0.11])  array([2.05  0.05  0.13])  array([1.91  0.08  0.13 ])  array([2.51  0.07  0.23])  array([1.81    0.08  0.16 ])  array([1.73  0.11   0.25])  array([1.48   0.10  0.11])  array([1.57  0.07  0.11])  array([1.72  0.06  0.11])  array([1.30  0.05  0.15  ])  array([1.32  0.07  0.15])  array([1.46  0.08  0.18])  array([1.67  0.05  0.13 ])  array([1.59   0.10  0.24])  array([2.65  0.09  0.18])  array([1.75  0.06  0.18])  array([2.07  0.07   0.21])  array([1.70  0.08  0.15])  array([1.67  0.10  0.07])  array([2.08  0.06  0.15])  array([1.78  0.11  0.24])  array([1.80  0.04  0.23])  array([1.63  0.06  0.10])  array([1.63  0.05  0.22])  array([1.48  0.06  0.20])  array([1.98  0.07  0.22])  array([1.93  0.08  0.23])],mindraws [[ 0.40  0.45]; [ 0.47  0.26]; [-0.56  0.42]; [-0.74  0.25  ]; [-0.33  0.43]; [-0.30 -0.28]; [ 0.89  0.04 ]; [ 0.94 -0.51]; [-0.50  0.48]; [ 0.58  0.76]; [ 0.83   0.23]; [ 0.62  -0.45]; [ 0.27  0.60 ]; [ 0.04  0.96]; [ 0.63  0.34]; [-0.71  0.31]; [ 0.17  0.79]; [ 0.60  0.83]; [ 0.59  0.81]; [-0.30 -0.28]; [ 0.04  0.41]; [ 0.19 -0.79]; [ 0.60  0.82]; [ 0.89  0.04 ]; [-0.36   0.43]; [-0.49 -0.74]; [-0.46  0.11]; [ 0.80 -0.15]; [ 0.04   0.58 ]; [-0.11 -0.93]; [ 0.59  0.78 ]; [ 0.79 -0.46]; [ 0.13  0.21]; [-0.31 -0.20]; [ 0.74 -0.50 ]; [ 0.10 -0.82]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.11],kindex 9,PIatX [0.01],host harald-VirtualBox
17, -0.13573987699866308, 0.3289139088573541, 0.005, [nan], 3.649234763157479, 1.0, 0.6178838476309767, 0.7836645872205024, 0.06931830119149575,0, 0, 0, 13:54:33  27-08-20,0.0,AQvalue [0.10],HYPstats {'mean': array([1.91  0.07  0.17])  'std': array([0.35  0.02   0.03])  'min': array([1.49  0.03  0.06])  'max': array([2.91  0.13  0.24])},HYPdraws [array([1.57  0.05  0.20])  array([1.78  0.08   0.17])  array([2.03  0.08  0.06])  array([2.09  0.05   0.20 ])  array([1.49  0.04  0.16])  array([2.19  0.08  0.24])  array([1.49  0.08  0.17])  array([2.18  0.10  0.17])  array([2.31  0.10  0.15])  array([1.59  0.08   0.18])  array([1.65  0.06  0.21])  array([2.14  0.04  0.13])  array([2.59   0.11  0.19])  array([2.06  0.07  0.22])  array([1.54  0.07  0.13])  array([1.50  0.06  0.17])  array([2.22  0.11  0.12])  array([1.66  0.05  0.16])  array([1.66  0.05  0.17])  array([2.18  0.03  0.16])  array([1.63  0.03  0.13])  array([1.71  0.08  0.20])  array([1.89  0.07  0.15])  array([1.59  0.04  0.18])  array([1.86   0.10  0.23])  array([1.88  0.05  0.22])  array([2.91  0.13  0.18])  array([2.13  0.12  0.17])],mindraws [[-0.14  0.25  ]; [-0.72  0.13 ]; [-0.81  0.13]; [-0.99 -0.45]; [-0.69  0.49]; [-0.13  0.37]; [ 0.53 -0.12]; [ 0.61  0.79]; [-0.13   0.53]; [ 0.11  0.75 ]; [-0.47  0.46]; [ 0.60 -0.23]; [ 0.39  0.86]; [-0.74   0.01]; [-0.12   0.67]; [-0.07  0.93]; [ 0.91 -0.21]; [ 0.02 -0.42]; [-0.65  0.71 ]; [-0.76  0.00]; [-0.08  0.08]; [-0.74 -0.24]; [ 0.59  0.83]; [ 0.85  0.35]; [ 0.05 -0.90]; [ 0.18  0.48]; [-0.08 -0.18]; [ 0.07  0.14]; [-0.64  0.65]; [-0.13    0.96]; [ 0.70  0.22]; [-0.06 -0.44]; [ 0.90  0.96]; [-0.64 -0.41]; [-0.83 -0.91]; [-0.38  0.40]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.10],kindex 9,PIatX [0.01],host harald-VirtualBox
18, 0.23891741747869175, 0.7146852075164313, 0.005, [nan], 5.012625507837306, 1.0, 0.6173773870962478, 0.7859594252897585, 0.07874279789245539,0, 0, 0, 13:54:51  27-08-20,0.0,AQvalue [0.12],HYPstats {'mean': array([1.95  0.08  0.19])  'std': array([0.37  0.02  0.04])  'min': array([1.30   0.03  0.10])  'max': array([2.72  0.12  0.29])},HYPdraws [array([1.54  0.06  0.18])  array([1.91  0.03  0.26])  array([2.29    0.10  0.19])  array([1.64  0.10  0.23])  array([2.39  0.11  0.20])  array([1.83   0.10  0.20])  array([1.87  0.08  0.23])  array([2.72  0.08  0.22])  array([1.43  0.08  0.13])  array([1.81  0.10  0.14])  array([2.29  0.07  0.15])  array([2.05  0.10  0.16])  array([2.70  0.10  0.26])  array([1.30   0.07  0.22])  array([2.09  0.09  0.12])  array([2.26  0.11  0.23])  array([2.32  0.09  0.18])  array([1.82  0.06  0.19])  array([2.05  0.05  0.10])  array([2.13  0.09  0.11])  array([1.69  0.07  0.18])  array([1.87  0.05  0.24])  array([2.19  0.09  0.29])  array([1.38  0.09  0.17])  array([1.93  0.12  0.19])  array([1.67  0.05  0.23])  array([2.20   0.10  0.20])  array([1.30  0.03  0.12])],mindraws [[-0.38  0.85]; [-0.47  0.66]; [ 0.60  0.77]; [ 0.59 -0.14 ]; [-0.27  0.90]; [-0.77 -0.01]; [-0.23  0.68]; [ 0.25  0.18]; [ 0.03  -0.77]; [-0.02  0.36]; [ 0.79 -0.51]; [ 0.24  0.35]; [-0.08 -0.59]; [-0.01   0.29]; [ 0.81 -0.80]; [-0.48    0.96]; [-0.93 -0.72]; [ 0.23  0.72]; [ 0.98    0.72]; [-0.85 -0.11]; [-0.05  0.17]; [ 0.61  0.78]; [-0.89 -0.71]; [ 0.48  1.        ]; [ 0.36  0.98 ]; [ 0.51  0.08]; [-0.83  -0.61 ]; [ 0.03 -0.04]; [ 0.24  0.74 ]; [-0.46 -0.59]; [-0.33  0.54]; [ 0.23  0.72]; [-0.92   -0.34]; [ 0.89 -0.37]; [ 0.58  0.75]; [ 0.48  0.61 ]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.12],kindex 9,PIatX [0.02],host harald-VirtualBox
19, -0.32203787696040204, 0.48728167927926624, 0.005, [nan], 3.5633638940284795, 1.0, 0.6165334432957948, 0.7846903768463731, 0.08177071741071958,0, 0, 0, 13:55:09  27-08-20,0.0,AQvalue [0.07],HYPstats {'mean': array([1.77  0.08  0.17])  'std': array([0.25  0.02  0.04])  'min': array([1.25  0.03  0.06])  'max': array([2.33  0.13  0.30])},HYPdraws [array([1.64  0.06  0.15])  array([1.71  0.09  0.14])  array([1.63  0.08  0.19])  array([1.91  0.10  0.22])  array([2.33  0.05  0.24 ])  array([1.86  0.11  0.17])  array([1.75  0.04   0.13])  array([1.73  0.11  0.14])  array([1.51  0.07  0.16])  array([1.67  0.08  0.13])  array([1.99  0.13  0.24])  array([1.86  0.13  0.18])  array([1.47  0.06  0.15])  array([1.79  0.07  0.14])  array([1.52  0.05   0.06])  array([2.33  0.09  0.30])  array([1.52  0.08  0.13])  array([1.62  0.06  0.23 ])  array([1.25  0.04  0.21])  array([1.96  0.03  0.25])  array([2.02  0.05  0.14 ])  array([2.02  0.10  0.17 ])  array([2.21  0.09  0.20])  array([1.69  0.06  0.18])  array([1.63   0.06  0.10])  array([1.61  0.08  0.20])  array([1.61  0.05   0.12])  array([1.85  0.08  0.16])],mindraws [[-0.71 -0.26]; [-0.93  0.98]; [-0.86  0.79]; [ 0.09  0.19]; [-0.50  0.58 ]; [-0.43  0.48]; [ 0.60  0.77 ]; [ 0.56  0.66]; [ 0.21  0.09]; [-0.66  0.19]; [ 0.59  0.76]; [ 0.59  0.79]; [-0.96 -0.00]; [ 0.94   0.98]; [-0.78  0.98]; [ 0.01 -0.24]; [-0.83   0.00]; [-0.75 -0.55]; [ 0.71 -0.22]; [-0.12 -0.41]; [-0.44 -0.65]; [ 0.59  0.78]; [-0.27  0.68]; [ 0.85 -0.91]; [ 0.60  0.81]; [-0.58  0.99 ]; [ 0.96 -0.94]; [-0.13 -0.38]; [ 0.77  0.30]; [-0.95   -0.75]; [-0.28  0.41 ]; [ 0.07 -0.14]; [-0.34  0.51]; [-0.30 -0.66]; [ 0.82 -0.44]; [-0.22  0.15]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.07],kindex 9,PIatX [0.01],host harald-VirtualBox
20, -0.631080557284229, 0.7838321463218393, 0.005, [nan], 1.9063894288752752, 1.0, 0.6166894990955143, 0.7831036241806784, 0.07389006911178181,0, 0, 0, 13:55:27  27-08-20,0.0,AQvalue [0.11],HYPstats {'mean': array([1.75  0.08  0.17])  'std': array([0.32  0.01  0.05])  'min': array([1.30  0.04  0.07])  'max': array([2.56  0.11  0.31])},HYPdraws [array([1.43  0.05  0.16 ])  array([1.35  0.07  0.14])  array([1.81  0.08   0.10])  array([2.07  0.07  0.12])  array([2.33  0.11  0.18])  array([1.80   0.04  0.31])  array([2.56  0.09  0.12])  array([2.13   0.11  0.14])  array([1.82  0.08  0.22])  array([1.59  0.09  0.19])  array([1.40  0.07  0.15])  array([1.91  0.08   0.16])  array([2.07  0.08  0.19])  array([1.55  0.07  0.19])  array([1.86  0.11  0.31])  array([1.71  0.06  0.14])  array([1.53  0.05  0.25])  array([1.53  0.07  0.07])  array([1.35  0.08  0.15])  array([1.57  0.09  0.15])  array([1.30  0.09   0.13])  array([1.71   0.09  0.22])  array([1.76  0.08  0.09])  array([1.37  0.09  0.13])  array([1.51   0.05  0.14])  array([1.76  0.06  0.11])  array([2.04  0.08  0.16])  array([2.25  0.06  0.26])],mindraws [[ 0.38  0.29]; [-0.05 -0.60]; [ 0.17 -0.12]; [ 0.75 -0.82]; [-0.98  0.21]; [-0.18   0.12]; [ 0.03  0.09]; [-0.41  0.34]; [-0.97  1.        ]; [-0.46 -0.63]; [-0.41 -0.04]; [-0.65  0.75]; [-0.90  0.93]; [-0.35 -0.49]; [ 0.99  0.18]; [ 0.88 -0.24]; [-0.66  0.87]; [ 0.41 -0.13]; [-0.89 -0.17]; [ 0.98  -0.34]; [-0.60  0.80]; [-0.07  0.49]; [ 0.61  0.78]; [-0.57   0.45]; [-0.90 -0.05 ]; [ 0.72 -0.45]; [ 0.58 -0.25]; [ 0.89 -0.03]; [-0.29  0.12 ]; [-0.97  1.        ]; [ 0.94 -0.45]; [-0.62  0.65]; [ 0.01 -0.68]; [-0.15  0.88]; [-0.84 -0.87 ]; [ 0.90  0.08]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.11],kindex 9,PIatX [0.01],host harald-VirtualBox
