n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime, condition, aqauxdata
1, -0.8324554190378277, -0.5065838617271581, 0.0, [nan], 7.354923946871332, 1.0, -0.8324554190378277, -0.5065838617271581, 7.354923946871332,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
2, -0.7139423353989165, 0.03729126725551768, 0.0, [nan], 6.0685397015385645, 1.0, -0.7139423353989165, 0.03729126725551768, 6.0685397015385645,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
3, 0.24511913396640006, 0.2941596282977126, 0.0, [nan], 2.6047751204152907, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
4, -0.20034560193225515, 0.34172099414602375, 0.0, [nan], 3.441614638240784, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
5, 0.3826894313277567, 0.9457538137943862, 0.0, [nan], 5.170399918156648, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
6, -0.5036877245298137, -0.7620700087475774, 0.0, [nan], 6.542609029902735, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
7, -0.6460955674727116, 0.23873417551760645, 0.0, [nan], 5.1098569523982444, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
8, 0.05779555528376812, -0.31703105571920687, 0.0, [nan], 3.823686422501766, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
9, -0.6904847889502761, -0.26861493488265986, 0.0, [nan], 6.487677314066068, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
10, -0.2056217192054799, -0.8801101322116929, 0.0, [nan], 5.978838010733588, 1.0, 0.24511913396640006, 0.2941596282977126, 2.6047751204152907,0, 0, 0, 15:24:59  30-08-20,0.0,host harald-VirtualBox
11, 0.499743862470932, 0.06637729036998936, 0.0, [nan], 4.43194646092182, 1.0, 0.16445054046199695, 0.30718658919555, 3.333389411873964,0, 0, 0, 15:25:20  30-08-20,0.0,AQvalue [0.49],HYPstats {'mean': array([1.56  0.63  0.69])  'std': array([0.41  0.29  0.23])  'min': array([1.00  0.20  0.28])  'max': array([2.46   1.46  1.25])},HYPdraws [array([2.10  0.69  1.09])  array([2.33  0.30  0.73])  array([1.96  0.48  0.96])  array([1.64   0.73  0.40])  array([1.16  0.35  0.53 ])  array([1.17  0.48  0.69])  array([1.13  0.47  0.38])  array([1.00  0.37  0.37])  array([1.14  0.77   0.67 ])  array([1.16  0.38  0.56])  array([2.11  1.46  0.90])  array([1.60  0.35  0.28])  array([1.38  0.62  0.48])  array([1.11  0.55  0.63])  array([1.44  0.21  0.67])  array([2.46  0.84  1.09])  array([1.27  1.12  1.08])  array([1.28  0.20  0.61])  array([2.14  0.81  1.25])  array([1.80   0.46  0.51])  array([1.33  0.57  0.72 ])  array([1.42  0.86  0.61])  array([1.80  0.59  0.62])  array([1.42  1.06  0.63])  array([1.41   1.10  0.81])  array([2.18  0.62  0.68 ])  array([1.44  0.40  0.75])  array([1.34  0.82   0.55])],mindraws [[ 0.06  0.41]; [ 0.57   0.57]; [ 0.89 -0.11]; [-0.00  0.26]; [ 0.46  0.20]; [ 0.07  0.11]; [-0.32   0.64]; [ 0.63  0.19]; [ 0.75 -0.53]; [ 0.92 -0.21 ]; [ 0.86  0.04]; [ 0.30  0.05]; [ 0.99 -0.99]; [ 0.82  0.40]; [ 0.27  0.29]; [ 0.33  0.00]; [ 0.40  0.13]; [ 0.05  0.37]; [ 0.10  0.26]; [ 0.23  0.29]; [ 0.99  0.69]; [ 0.06  0.19]; [ 0.12  0.32]; [ 0.15  0.27 ]; [ 0.04  0.47]; [ 0.15   0.14]; [ 0.11  0.42]; [ 0.36 -0.03]; [ 0.52  -0.07]; [ 0.18  0.06]; [ 0.16  0.42]; [ 0.11  0.21]; [ 0.27  0.25]; [ 0.10  0.20]; [ 0.53 -0.53]; [ 0.52  -0.07]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.49],kindex 9,PIatX [0.29],host harald-VirtualBox
12, 0.08371609365111847, 0.1586035264250913, 0.0, [nan], 2.3431578865185854, 1.0, 0.11835027300138241, 0.22247668361079373, 2.852187440799076,0, 0, 0, 15:25:40  30-08-20,0.0,AQvalue [0.46],HYPstats {'mean': array([1.39  0.44  0.58])  'std': array([0.48  0.15   0.23])  'min': array([0.87  0.18  0.17])  'max': array([3.38  0.80  1.26])},HYPdraws [array([3.38  0.80  0.69])  array([2.12  0.62   1.02])  array([1.21  0.43  0.48])  array([0.95  0.43  0.75])  array([1.34   0.25   0.52])  array([0.99  0.38  0.17])  array([1.45  0.45  0.51])  array([1.05  0.45  0.32])  array([1.25  0.49  0.60])  array([1.24  0.27  0.47 ])  array([1.18  0.38  0.24])  array([1.16  0.26  0.65])  array([1.12  0.62  0.69])  array([1.14  0.57   0.27])  array([1.13  0.45  0.31])  array([0.87  0.30  0.58])  array([1.81  0.37  0.68])  array([1.46  0.38  0.56  ])  array([1.66  0.56  0.61 ])  array([1.42  0.62  0.62])  array([0.97  0.45  0.70])  array([1.36  0.33  1.26])  array([1.98  0.64  0.54])  array([1.11  0.64  0.39])  array([1.25  0.18  0.82])  array([1.22   0.46  0.49 ])  array([1.18  0.22  0.34])  array([1.81  0.26  0.95])],mindraws [[ 0.12  0.22]; [ 0.12  0.11]; [-0.29  0.98]; [ 0.77 -0.79 ]; [ 0.19  0.26]; [ 0.24  0.33]; [ 0.29  0.30]; [ 0.15  0.32]; [-0.44  0.83]; [ 0.98 -0.36]; [ 0.23  0.17]; [ 0.51 -0.62 ]; [ 0.23  0.06]; [ 0.08  0.01]; [ 0.19  0.29]; [ 0.43  0.38]; [-0.17  0.66]; [-0.36   0.96]; [-0.36  0.98]; [ 0.19  0.64]; [ 0.90 -0.40]; [ 0.48  0.48]; [ 0.16  0.05]; [-0.41  0.85]; [ 0.03  0.06]; [ 0.07  0.43]; [ 0.11  0.22]; [-0.99  0.52 ]; [-0.07  0.20]; [ 0.00  0.24]; [ 0.12  0.07]; [ 0.14  0.15]; [ 0.34  0.36]; [-0.05  0.58]; [-0.03  0.09]; [-0.17  0.66]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.46],kindex 9,PIatX [0.37],host harald-VirtualBox
13, 0.06981572027673073, 0.37583459068046327, 0.0, [nan], 4.0582736886336725, 1.0, 0.16019966661184332, 0.09196042170193601, 0.7431719014698579,0, 0, 0, 15:26:01  30-08-20,0.0,AQvalue [0.66],HYPstats {'mean': array([1.42  0.44  0.66])  'std': array([0.28  0.11  0.23])  'min': array([0.97  0.26  0.29])  'max': array([2.32  0.74    1.36])},HYPdraws [array([1.61   0.74    0.79])  array([1.72  0.56  1.25])  array([1.36  0.31  0.64])  array([1.08   0.34  0.64])  array([2.32  0.55  0.71])  array([1.06  0.49  0.70])  array([1.30  0.39  0.53])  array([1.62  0.68  0.54])  array([1.09  0.27   0.79])  array([0.97  0.26  0.44])  array([1.27  0.35  0.66])  array([1.34  0.40  0.61])  array([1.49  0.56  0.64])  array([1.03  0.46  0.71])  array([1.61  0.42  1.36])  array([1.79  0.31  0.35])  array([1.45   0.52  0.41])  array([1.29  0.43  1.13 ])  array([1.74  0.39   0.70])  array([1.30  0.38  0.76])  array([1.56  0.36  0.50])  array([1.56  0.57   0.65])  array([1.41  0.42  0.58])  array([1.12  0.38  0.29])  array([1.52   0.47  0.42])  array([1.35  0.55  0.53])  array([1.16  0.46  0.60])  array([1.63  0.38  0.57])],mindraws [[ 1.03e-01  5.62e-01]; [ 1.50e-02  2.75e-01]; [ 1.22e-01  2.49e-01]; [-2.71e-01  6.77e-01]; [ 9.67e-02  2.57e-01]; [ 1.65e-01  1.97e-01]; [ 1.08e-01  3.25e-01]; [ 1.33e-01  3.57e-01]; [ 9.67e-02  3.05e-01]; [ 1.19e-01  4.33e-01]; [ 7.55e-01 -5.49e-01]; [ 1.89e-01  1.64e-01]; [-7.57e-02  1.60e-01]; [ 7.87e-02  2.67e-01]; [-9.86e-02  5.44e-02]; [ 1.33e-01  3.20e-01]; [-4.55e-01  9.13e-01]; [ 4.00e-01 -9.80e-01]; [ 2.01e-01  4.28e-02]; [ 4.44e-02  4.74e-01]; [ 1.33e-01  2.26e-01]; [-2.72e-02  9.82e-03]; [ 8.65e-01 -6.31e-01]; [ 1.77e-01  9.78e-02]; [ 1.28e-01  3.32e-01]; [ 7.94e-02  3.92e-01]; [ 1.04e-01  2.48e-01]; [ 1.00e-01  3.39e-01]; [-7.44e-01  7.24e-01]; [ 1.60e-01  1.21e-01]; [-6.79e-04  5.48e-01]; [ 1.00e-01  3.39e-01]; [-3.03e-01  8.64e-01]; [ 1.70e-01  1.38e-01]; [-3.59e-02  9.99e-01]; [ 2.54e-01 -8.48e-02]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.66],kindex 9,PIatX [0.33],host harald-VirtualBox
14, 0.10686806581558209, 0.004568197478375449, 0.0, [nan], 0.5646058550397232, 1.0, 0.1380262215485928, -0.02230468043535744, 1.1287380538748666,0, 0, 0, 15:26:21  30-08-20,0.0,AQvalue [0.48],HYPstats {'mean': array([1.54   0.34  0.35 ])  'std': array([0.37  0.13  0.14])  'min': array([1.07  0.20  0.12])  'max': array([2.53   0.74  0.74])},HYPdraws [array([1.24  0.24  0.17])  array([1.25  0.28  0.27])  array([1.58  0.32  0.46])  array([1.51   0.33  0.35])  array([1.10  0.27  0.31])  array([1.37  0.29  0.12])  array([1.22  0.23  0.28])  array([2.27   0.46  0.74])  array([1.96  0.45  0.46])  array([1.07  0.21  0.18])  array([2.20  0.27  0.60])  array([1.23   0.42  0.29])  array([1.83  0.27  0.32])  array([1.75  0.34  0.40])  array([1.18  0.20  0.22])  array([1.43  0.35   0.13])  array([1.29  0.26  0.38])  array([1.56  0.41  0.44])  array([1.98  0.74  0.20 ])  array([2.53   0.45  0.24])  array([1.48  0.27  0.38])  array([1.80  0.28   0.42])  array([1.52  0.74  0.19])  array([1.54  0.31  0.30])  array([1.37  0.23  0.55])  array([1.10  0.27  0.31])  array([1.63  0.27   0.57])  array([1.19  0.31  0.38])],mindraws [[ 0.21  0.04]; [ 0.18  0.05]; [-0.23  0.19]; [ 0.23  -0.04]; [ 0.91  0.96]; [-0.21  0.06 ]; [ 0.23  -0.04]; [-0.88  0.81 ]; [-0.05  0.04]; [ 0.18  0.08]; [-0.40  0.60]; [-0.94  0.64]; [ 0.17  0.00 ]; [ 0.50  -0.48]; [ 0.18  0.20 ]; [-0.04  0.21]; [ 0.57  0.65]; [-0.82  0.75]; [ 0.14  0.06]; [ 0.15  0.02]; [-0.12   0.84]; [-0.27  0.12]; [-0.16 -0.08]; [-0.08  0.18]; [ 0.25    0.19 ]; [-0.12   0.84]; [ 0.15  0.13 ]; [ 0.34 -0.17]; [-0.99  0.72]; [-0.40  0.60]; [ 0.20   0.12]; [ 0.11 -0.04]; [-0.09  0.03]; [ 0.17  0.22]; [ 0.61 -0.33]; [ 0.90 -0.45]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.48],kindex 9,PIatX [0.35],host harald-VirtualBox
15, 0.10968864510661708, -0.06806356322941502, 0.0, [nan], 1.6497732363355084, 1.0, 0.1204509325964366, 0.0307149146809617, 0.4497413249661066,0, 0, 0, 15:26:42  30-08-20,0.0,AQvalue [0.90],HYPstats {'mean': array([1.70  0.29  0.30])  'std': array([0.40  0.10  0.06])  'min': array([1.22  0.05  0.20 ])  'max': array([3.10  0.61  0.52 ])},HYPdraws [array([1.27  0.26  0.25])  array([2.07  0.40  0.31])  array([1.29  0.24  0.27])  array([1.58  0.28   0.29])  array([2.52  0.31   0.28])  array([2.10  0.31  0.32])  array([1.68  0.19  0.38])  array([1.30  0.24  0.28])  array([1.56  0.05  0.37])  array([3.10  0.59  0.52 ])  array([1.75   0.21  0.27])  array([1.55  0.35  0.23])  array([1.45  0.20  0.31])  array([1.62  0.19  0.34])  array([1.29  0.33  0.24])  array([1.59  0.25  0.28])  array([1.51  0.32  0.30])  array([1.85   0.40  0.38])  array([1.40  0.23  0.27])  array([2.14  0.61  0.34])  array([1.84  0.31  0.40])  array([1.22  0.19  0.22])  array([1.47    0.28  0.26])  array([1.35  0.27  0.20 ])  array([1.88  0.28  0.25])  array([1.89  0.30  0.38])  array([1.55  0.23  0.29])  array([1.86  0.26  0.28 ])],mindraws [[ 1.40e-01  1.47e-02]; [ 1.15e-01 -7.17e-03]; [-5.68e-02 -5.54e-04]; [ 9.89e-01 -6.65e-01]; [ 1.05e-01 -1.52e-03]; [ 1.18e-01  1.91e-02]; [-1.29e-01 -9.01e-02]; [ 1.97e-01 -6.92e-02]; [ 1.11e-01 -4.19e-02]; [ 1.17e-01 -6.55e-02]; [-3.46e-01 -8.32e-04]; [ 1.17e-01 -4.07e-02]; [ 1.44e-01 -7.74e-02]; [ 1.80e-01  3.50e-02]; [ 1.20e-01 -3.72e-02]; [ 1.48e-01 -2.85e-02]; [ 3.86e-02 -2.87e-02]; [ 1.34e-02 -5.23e-02]; [ 1.20e-01  3.70e-03]; [ 1.10e-01 -7.79e-02]; [ 1.29e-01 -2.90e-02]; [ 1.32e-01 -2.20e-02]; [ 6.01e-02 -3.92e-02]; [ 1.24e-01 -4.44e-02]; [ 1.06e-01 -1.18e-01]; [ 2.31e-01 -6.72e-02]; [ 1.30e-01 -2.76e-02]; [ 1.16e-01 -6.38e-02]; [ 2.30e-01  2.26e-02]; [ 1.22e-01  5.12e-02]; [ 8.69e-02 -4.44e-02]; [ 1.05e-01 -2.99e-02]; [ 1.66e-01 -4.70e-03]; [ 1.23e-01 -3.61e-02]; [ 1.07e-01 -1.02e-01]; [-5.42e-01  9.38e-01]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.90],kindex 9,PIatX [0.41],host harald-VirtualBox
16, 0.02344695312789956, 0.017943411318458294, 0.0, [nan], 0.7055173435476723, 1.0, 0.08463914418915819, 0.018136618731985948, 0.5237822099687257,0, 0, 0, 15:27:01  30-08-20,0.0,AQvalue [0.44],HYPstats {'mean': array([1.91  0.27  0.19])  'std': array([0.32  0.09  0.04])  'min': array([1.27  0.11  0.10])  'max': array([2.80  0.51  0.27])},HYPdraws [array([1.77  0.28  0.23])  array([1.84  0.23  0.23 ])  array([1.59  0.22  0.22])  array([2.40  0.29  0.23])  array([1.80  0.41  0.15])  array([1.92  0.18  0.19])  array([1.80  0.29  0.16])  array([1.82  0.30  0.24])  array([1.27  0.22  0.24])  array([1.96  0.28  0.22])  array([1.46  0.11  0.15 ])  array([2.26  0.17  0.26])  array([1.76  0.19  0.26])  array([1.58  0.16  0.11])  array([1.70  0.22  0.18])  array([1.96  0.44   0.14])  array([1.98  0.45  0.18])  array([2.80  0.38  0.17])  array([2.07  0.20  0.12])  array([2.24   0.17  0.26])  array([1.59  0.14  0.19])  array([1.79  0.28  0.18])  array([2.35  0.51  0.15])  array([1.85  0.32  0.10])  array([1.81  0.21  0.18])  array([1.86  0.23   0.27])  array([1.76  0.31  0.18])  array([2.52  0.27  0.26])],mindraws [[ 0.07  0.02]; [ 0.24 -0.01]; [-0.19  0.81]; [ 0.06  0.02]; [ 0.89 -0.87]; [-0.14  0.08]; [ 0.12 -0.00]; [-0.98  0.99]; [-0.52  0.89]; [ 0.15  0.01]; [ 0.07  0.04 ]; [ 0.12  0.01]; [ 0.21 -0.01 ]; [-0.06  0.03]; [ 0.62  0.57]; [ 0.07  0.03]; [ 0.89 -0.03]; [ 0.99  0.36]; [-0.02  0.01]; [ 0.47 -0.82]; [ 0.99  0.31]; [-0.08  0.09]; [-0.61  0.60]; [-0.04  0.04 ]; [ 0.51  -0.22]; [ 0.79  0.32]; [-0.12 -0.16]; [ 0.43 -0.61]; [-0.99 -0.16]; [ 0.05  0.00]; [ 0.89 -0.34]; [ 0.20 -0.99]; [-0.82  0.47]; [ 0.87 -0.81]; [ 0.59 -0.35]; [-0.20  0.02]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.44],kindex 9,PIatX [0.28],host harald-VirtualBox
17, 0.10740487333184455, 0.057137477096618164, 0.0, [nan], 0.7321281713418899, 1.0, 0.08715472468175742, 0.01991690732325533, 0.5204879870546093,0, 0, 0, 15:27:21  30-08-20,0.0,AQvalue [0.47],HYPstats {'mean': array([1.70  0.29  0.20])  'std': array([0.24  0.08  0.02])  'min': array([1.31  0.17  0.15])  'max': array([2.16  0.50  0.26])},HYPdraws [array([1.66  0.19  0.21])  array([1.78   0.34  0.22])  array([1.62   0.24  0.19])  array([1.81  0.33  0.18])  array([1.33  0.28   0.16])  array([1.34  0.29  0.15])  array([2.16  0.35  0.17])  array([1.82  0.50  0.16])  array([1.60  0.34  0.21])  array([1.84  0.25   0.24])  array([1.46  0.29  0.19])  array([2.12  0.35  0.19])  array([1.75   0.21  0.21])  array([1.55  0.37  0.18])  array([1.41  0.17  0.19])  array([1.74  0.33  0.24])  array([2.07  0.50  0.23])  array([1.51  0.20  0.15])  array([1.38  0.20  0.26])  array([1.95  0.40  0.16])  array([1.97  0.33  0.22])  array([1.85  0.20  0.20])  array([1.87   0.22   0.26])  array([1.59  0.18  0.20])  array([1.61  0.24  0.22])  array([2.02  0.18   0.16])  array([1.56  0.33  0.21])  array([1.31  0.33  0.19  ])],mindraws [[ 0.09  0.04]; [ 0.92  0.68]; [ 0.62 -0.99]; [ 0.08  0.00]; [ 0.27 -0.01 ]; [ 0.08  0.03]; [ 0.14  0.01]; [ 0.09  0.04]; [ 0.11   0.03]; [ 0.08  0.01 ]; [ 0.06 -0.00]; [ 0.67  0.43]; [-0.07   0.05]; [ 0.69 -0.62]; [ 0.99  0.38]; [ 0.24  0.08]; [ 0.51 -0.63]; [ 0.07  0.03]; [ 0.99 -0.06]; [ 0.06 -0.00]; [ 0.07   -0.00]; [ 0.08   0.01]; [-0.03   0.04]; [ 0.33 -0.10]; [ 0.66 -0.38]; [-0.95  0.58]; [ 0.08 -0.01]; [ 0.12   0.04]; [ 0.74 -0.99]; [ 0.07 -0.00]; [-0.24  0.07 ]; [-0.10 -0.05]; [ 0.11  0.05]; [-0.08  0.10]; [ 0.10  0.03]; [-0.10 -0.08]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.47],kindex 9,PIatX [0.27],host harald-VirtualBox
18, 0.06377666548810661, 0.005205219211135414, 0.0, [nan], 0.5652722234856832, 1.0, 0.08876454568099805, 0.019638603239783618, 0.5155816058673167,0, 0, 0, 15:27:40  30-08-20,0.0,AQvalue [0.37],HYPstats {'mean': array([1.81  0.29  0.20])  'std': array([0.32  0.08  0.03])  'min': array([1.39  0.18  0.10])  'max': array([2.53  0.47  0.27])},HYPdraws [array([1.77  0.25  0.21])  array([1.49  0.20  0.21])  array([2.42   0.35  0.25])  array([1.44  0.22  0.15])  array([1.92  0.35  0.14])  array([2.15  0.41  0.23])  array([1.97  0.47  0.18])  array([1.39  0.24  0.20])  array([1.52   0.31  0.19])  array([1.97  0.22  0.19])  array([2.41  0.24  0.17])  array([1.97  0.26  0.27])  array([1.71  0.18  0.21])  array([2.53  0.36  0.24 ])  array([1.96  0.43  0.26])  array([2.40  0.28  0.20])  array([1.47  0.31  0.18])  array([1.86  0.21  0.24])  array([1.62  0.21  0.20])  array([1.61  0.20  0.10])  array([1.82  0.35  0.26])  array([1.51   0.26   0.22])  array([1.87  0.30  0.17])  array([1.48  0.22  0.14 ])  array([1.63  0.42  0.21])  array([1.98  0.40  0.25])  array([1.52  0.21   0.20])  array([1.43  0.27  0.19])],mindraws [[ 0.20  0.04]; [ 0.96 -0.99]; [ 0.10  0.01]; [ 0.07  0.02]; [ 0.89 -0.77]; [ 0.53  0.33]; [ 0.08  0.02]; [ 0.36 -0.93]; [ 0.95  0.60]; [ 0.95  0.60]; [-0.59  0.78]; [-0.92  0.63]; [ 0.05 -0.01]; [ 0.08  0.01]; [ 0.97 -0.98]; [-0.92  0.63]; [ 0.06 -0.00]; [ 0.08  0.01 ]; [ 0.96 -0.99]; [ 0.08  0.02]; [ 0.07  0.03 ]; [-0.07  0.02]; [ 0.07  0.02]; [ 0.07   0.00]; [-0.14  0.12]; [ 0.77  0.86]; [ 0.36 -0.93]; [ 0.84  0.56]; [ 0.07   0.01]; [-0.07 -0.18]; [ 0.39 -0.48]; [ 0.79  0.54]; [ 0.07  0.01]; [ 0.62  0.28 ]; [ 0.10 -0.00]; [-0.34  0.54]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.37],kindex 9,PIatX [0.51],host harald-VirtualBox
19, -0.7344810248689279, 0.8060682473005362, 0.0, [nan], 3.800109892694161, 1.0, 0.08936448005456488, 0.019324176405425494, 0.5135154093559744,0, 0, 0, 15:28:00  30-08-20,0.0,AQvalue [0.17],HYPstats {'mean': array([1.97  0.36  0.22])  'std': array([0.37  0.09  0.04])  'min': array([1.12  0.21  0.11])  'max': array([2.99  0.61  0.29])},HYPdraws [array([1.73  0.34  0.28])  array([2.99  0.21  0.21])  array([2.20  0.42  0.25])  array([1.65  0.21  0.11])  array([2.18  0.39  0.21])  array([1.85  0.42  0.23])  array([2.27  0.44  0.29])  array([1.75  0.35  0.18])  array([1.12  0.29  0.22])  array([2.50  0.53  0.29])  array([2.19  0.24  0.16])  array([2.39  0.30   0.23])  array([1.84  0.31  0.24])  array([1.61  0.44  0.17 ])  array([1.86  0.43   0.29])  array([1.83   0.27  0.24])  array([2.39  0.43  0.25])  array([1.27   0.31  0.17])  array([1.82    0.43  0.19])  array([1.81  0.27  0.28])  array([2.16  0.33  0.22])  array([2.36   0.61  0.23])  array([1.63  0.27  0.23])  array([2.04  0.33  0.20])  array([1.95  0.41  0.23])  array([1.80  0.44  0.16])  array([2.14  0.31   0.24])  array([1.75  0.33  0.19])],mindraws [[-0.59  0.79]; [-0.15  0.89]; [-0.28 -0.04]; [ 0.99  0.50]; [-0.99  0.63]; [ 0.89  0.76]; [ 0.82 -0.27]; [ 0.96 -0.89]; [ 0.99  0.60]; [ 0.21  0.04]; [ 0.83 -0.48]; [ 0.08   0.01]; [-0.95  0.93]; [ 0.81  0.66]; [-0.21  0.73]; [-0.80  0.73]; [ 0.08  0.01 ]; [ 0.08  0.02]; [-0.81  0.84]; [ 0.54 -0.83]; [ 0.34 -0.64]; [ 0.07  0.02]; [ 0.81  0.45]; [-0.67  0.52]; [ 0.07  0.02]; [ 0.88  0.66]; [ 0.97 -0.03]; [ 0.83 -0.48]; [ 0.02 -0.64]; [-0.26 -0.08]; [ 0.12  0.02]; [ 0.88 -0.89]; [-0.20  0.95]; [ 0.60 -0.94 ]; [ 0.29 -0.49]; [ 0.08  0.02]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.17],kindex 9,PIatX [0.05],host harald-VirtualBox
20, 0.7910132493179707, -0.5443373895314962, 0.0, [nan], 7.243896384381048, 1.0, 0.08948074428278624, 0.019320475889517314, 0.5132141493905389,0, 0, 0, 15:28:18  30-08-20,0.0,AQvalue [0.26],HYPstats {'mean': array([1.88  0.33  0.21])  'std': array([0.30  0.10  0.04])  'min': array([1.45  0.16  0.12])  'max': array([2.61  0.57  0.34])},HYPdraws [array([1.91  0.39  0.20])  array([2.25  0.52  0.26])  array([2.08  0.41   0.15])  array([1.50  0.35  0.17])  array([1.92  0.41  0.26])  array([1.83  0.37  0.25])  array([1.78  0.28  0.18])  array([1.94  0.32  0.22])  array([1.88  0.17  0.23])  array([1.58  0.29  0.17])  array([1.48  0.29  0.23])  array([1.69  0.46   0.16])  array([1.95  0.46  0.20])  array([2.03  0.43  0.20])  array([1.67  0.23  0.25])  array([2.31  0.22  0.28 ])  array([1.45  0.32  0.21])  array([1.94  0.30  0.17])  array([2.45    0.33  0.19])  array([1.53   0.25  0.23])  array([1.78  0.21  0.17])  array([1.62  0.23  0.25])  array([2.03  0.42  0.19])  array([1.75  0.25  0.18])  array([1.62  0.16  0.12])  array([1.60  0.34  0.22])  array([2.45  0.57  0.22])  array([2.61  0.32  0.34])],mindraws [[ 0.08  0.02]; [ 0.10  0.02]; [-0.67  0.55]; [-0.67  0.55]; [ 0.70 -0.48]; [ 0.70  0.31]; [-0.14  0.65]; [-0.91  0.57]; [ 0.61 -0.31]; [ 0.25  0.06]; [ 0.89 -0.58]; [ 0.70 -0.52]; [ 0.10   0.02]; [ 0.79 -0.64 ]; [-0.91  0.57]; [ 0.08  0.02]; [ 0.10   0.02]; [ 0.82 -0.61]; [ 0.61 -0.31]; [ 0.89 -0.58]; [-0.48  0.62]; [-0.42   0.71 ]; [ 0.09  0.01 ]; [ 0.25 -0.55 ]; [-0.99 -0.99]; [ 0.08  0.02]; [ 0.78  0.70]; [ 0.70 -0.48]; [ 0.43   0.59]; [ 0.25  0.06]; [ 0.09   0.02 ]; [-0.45  0.56 ]; [ 0.07  0.03]; [-0.20  0.85]; [ 0.98 -0.38]; [ 0.14  0.04 ]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.26],kindex 9,PIatX [0.04],host harald-VirtualBox
