Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale
1.0	0.8001297599148708	0.005851002706302706	1e-06
2.0	0.8001297599148708	0.005851002706302706	1e-06
3.0	0.699158691596461	0.007526685006723513	1e-06
4.0	0.8479475825427275	0.009319326466776155	1e-06
5.0	0.8741278839909867	0.013870830884543177	1e-06
6.0	0.8469386247693578	0.01586694027828897	1e-06
7.0	0.8816667823558524	0.01746353071055155	1e-06
8.0	0.8729455960072728	0.01332750865925127	1e-06
9.0	0.903384185870828	0.013608735200647148	1e-06
10.0	0.8599231785635266	0.013157522186294143	1e-06
11.0	0.8187941898982698	0.012869653502391701	1e-06
12.0	0.8617011736187213	0.013958706771581914	1e-06
13.0	0.814485690807048	0.013607492415485204	1e-06
14.0	0.8765669692567865	0.014443605469229036	1e-06
15.0	0.8281280778077897	0.014101737072824302	1e-06
16.0	0.7874571900390263	0.01374804396523792	1e-06
17.0	0.7520754633749215	0.013468442182082513	1e-06
18.0	0.8231210297081135	0.014530519585668525	1e-06
19.0	0.8160276648268274	0.014132297684000053	1e-06
20.0	0.7809550300240011	0.013864813497110568	1e-06
21.0	0.7503150042127209	0.013616098709614517	1e-06
22.0	0.7233753183555383	0.013398311154406654	1e-06
23.0	0.7004436461629963	0.013156436512601675	1e-06
24.0	0.7349540937111193	0.014234661947392181	1e-06
25.0	0.7086317447343389	0.014011179344132348	1e-06
26.0	0.8290429792378013	0.0165191984652662	1e-06
27.0	0.8025220531830205	0.016274050071080865	1e-06
28.0	0.7791012846928201	0.016103558450113936	1e-06
29.0	0.7599692583483392	0.015838848684434907	1e-06
30.0	0.7723077568560202	0.016472722810997733	1e-06
31.0	0.7560001844706385	0.016227880143869885	1e-06
32.0	0.7402362511209026	0.016000654930548062	1e-06
33.0	0.7249350543023274	0.01579328490550812	1e-06
34.0	0.7110838270237225	0.015596038634971431	1e-06
35.0	0.7049206025301398	0.015424711313442498	1e-06
36.0	0.6918577895039242	0.015272980320137701	1e-06
37.0	0.7026405237912787	0.015440249956583165	1e-06
38.0	0.689089274418641	0.015305921326053053	1e-06
39.0	0.6772659012060647	0.015138937873096578	1e-06
40.0	0.6678874890068844	0.014975327635909025	1e-06
41.0	0.6582455818264	0.014820874200529579	1e-06
42.0	0.6483373764042941	0.014680631188526356	1e-06
43.0	0.6600606866500721	0.015432151154049625	1e-06
44.0	0.6492952546161758	0.015281007453240623	1e-06
45.0	0.6399659304939194	0.015130645679606156	1e-06
46.0	0.6306098987470747	0.014990736536319261	1e-06
47.0	0.6215565844213365	0.014860169759450858	1e-06
48.0	0.6203298783309666	0.014760723003797303	1e-06
49.0	0.6118074575395209	0.01465228531675065	1e-06
50.0	0.6042696180355529	0.014527454848929259	1e-06
51.0	0.597711159376348	0.014410561899584026	1e-06
52.0	0.5904246074000616	0.014321785111862882	1e-06
53.0	0.5858553135031723	0.014215919519225028	1e-06
54.0	0.5803146249428672	0.014111964590790517	1e-06
55.0	0.5741879533831189	0.014048830907030954	1e-06
56.0	0.5682193434777092	0.013965303608046051	1e-06
57.0	0.5629134016761803	0.01387459114378636	1e-06
58.0	0.5703164983678325	0.014099238258083407	1e-06
59.0	0.5684574485698282	0.014018819573793603	1e-06
60.0	0.5639127615285889	0.013932591809837925	1e-06
61.0	0.5593907005113714	0.013850596583335014	1e-06
62.0	0.5591198524284816	0.013786206609792203	1e-06
63.0	0.5546808967320445	0.013709816209603034	1e-06
64.0	0.550264579728203	0.013648803162445164	1e-06
65.0	0.5464032979990165	0.013576809262356642	1e-06
66.0	0.5487313700165225	0.013539990273311731	1e-06
67.0	0.5483078680806693	0.01349246613077093	1e-06
68.0	0.5470234765020103	0.01343303326124633	1e-06
69.0	0.5441790101152962	0.013369111056763899	1e-06
70.0	0.5409985220376522	0.013296262351339495	1e-06
71.0	0.5396684532426925	0.013237835869553698	1e-06
72.0	0.5362281350421759	0.013187192658069887	1e-06
73.0	0.5779152752494016	0.013580940205617526	1e-06
74.0	0.5796178277398436	0.013887242528613135	1e-06
75.0	0.5840751405806845	0.014242660965450937	1e-06
76.0	0.5858991683439528	0.014535194998525855	1e-06
77.0	0.5914628626650283	0.014834106381169065	1e-06
78.0	0.6016426016858792	0.013750431180357865	1e-06
79.0	0.612001948731106	0.014109190477600408	1e-06
80.0	0.6076272467666675	0.013851181144643168	1e-06
81.0	0.6113306712600095	0.014051298833498867	1e-06
82.0	0.6230084148910283	0.014423225745487503	1e-06
83.0	0.6314184416933897	0.014918216745135241	1e-06
84.0	0.6297218568990498	0.015134739108763784	1e-06
85.0	0.6404922660469775	0.015573493042689183	1e-06
86.0	0.6541785808086013	0.015970300941326402	1e-06
87.0	0.6578512136248481	0.016298198410985388	1e-06
88.0	0.6640377749539148	0.016611859270148348	1e-06
89.0	0.6684104146935973	0.016904119165768006	1e-06
90.0	0.6835905932736933	0.01719244314558348	1e-06
91.0	0.6888949514735319	0.017292380120180795	1e-06
92.0	0.6963313471069607	0.01657872809765426	1e-06
93.0	0.7010149800755726	0.016738474901813412	1e-06
94.0	0.7110939062069338	0.01717160567202526	1e-06
95.0	0.7191865847272688	0.017268834595653974	1e-06
96.0	0.7137102513670449	0.01714548096644238	1e-06
97.0	0.7099927203254109	0.017027397490164575	1e-06
98.0	0.7183192355538729	0.017372043310124506	1e-06
99.0	0.7123053910970686	0.017271053903246774	1e-06
100.0	0.7054781231353859	0.01721541580440849	1e-06
101.0	0.7737124529974752	0.0186429167372211	1e-06
102.0	0.7663053758445579	0.018541575413514	1e-06
103.0	0.7589429597107715	0.01844785226982808	1e-06
104.0	0.751791669901273	0.018357324041030465	1e-06
105.0	0.7450724503282071	0.018262855556457656	1e-06
106.0	0.7393569981545796	0.01816670511434301	1e-06
107.0	0.7330343629870182	0.01807664594339704	1e-06
108.0	0.7268441271468152	0.017989725273855617	1e-06
109.0	0.7206671846091177	0.01791160835820848	1e-06
110.0	0.7149061426291873	0.017827295139428965	1e-06
111.0	0.7092990537718153	0.0177450331644567	1e-06
112.0	0.7038512155560335	0.017664579142052887	1e-06
113.0	0.6986772577142782	0.017584440809836163	1e-06
114.0	0.6933900647734967	0.017510725272453957	1e-06
115.0	0.6881581560491229	0.017446183422512685	1e-06
116.0	0.6830896364498956	0.017378660756033615	1e-06
117.0	0.6862773073948188	0.016911768361978958	1e-06
118.0	0.681534398843874	0.01683999107043089	1e-06
119.0	0.6769169456792906	0.016769734170382904	1e-06
120.0	0.6730623517749879	0.016698021415226933	1e-06
121.0	0.6691754225074067	0.01662780339381133	1e-06
122.0	0.6648896080991362	0.01658706614225359	1e-06
123.0	0.6607254381207321	0.016522431875378392	1e-06
124.0	0.6567581714861432	0.016458014841389982	1e-06
125.0	0.6527963785194566	0.01639608033039453	1e-06
126.0	0.648867255982926	0.016336654393921568	1e-06
127.0	0.6476342321796315	0.01628492250412053	1e-06
128.0	0.6439383224619756	0.01622662368185607	1e-06
129.0	0.6404463236967163	0.016168195463448536	1e-06
130.0	0.6514040435234549	0.016238386830139562	1e-06
131.0	0.6607685594135565	0.016423978451281393	1e-06
132.0	0.6627979736802659	0.016316857100570074	1e-06
133.0	0.6601975727188502	0.016259596145699013	1e-06
134.0	0.6619089167392566	0.015922068146141874	1e-06
135.0	0.6583914180988863	0.015869431209849537	1e-06
136.0	0.6551680735208536	0.0158153002392221	1e-06
137.0	0.6546485242352065	0.015446918602006598	1e-06
138.0	0.6511999681713344	0.015405228532382742	1e-06
139.0	0.6574951235877802	0.015551528014314172	1e-06
140.0	0.6541609721180006	0.015502604270280064	1e-06
141.0	0.6507735377381205	0.015458715203183418	1e-06
142.0	0.6480099714389582	0.015448138496350733	1e-06
143.0	0.6452450392929113	0.015398596774423116	1e-06
144.0	0.642081077244511	0.015356549878065468	1e-06
145.0	0.6439385481079131	0.015623404461738476	1e-06
146.0	0.6407887581995032	0.015576032286736458	1e-06
147.0	0.6379569542116535	0.015526938929466362	1e-06
148.0	0.644843711051774	0.015331166836303341	1e-06
149.0	0.6452973849542893	0.015421128524983063	1e-06
150.0	0.6421027054967305	0.015372806719115758	1e-06
151.0	0.6388679164490548	0.0153297169342583	1e-06
152.0	0.6358473968468866	0.015282523027520839	1e-06
153.0	0.6329932063490175	0.01523500858308753	1e-06
154.0	0.6302179171185845	0.015188201153876974	1e-06
155.0	0.6272933124710471	0.01514550554522705	1e-06
156.0	0.6247540581487097	0.015099660397668397	1e-06
157.0	0.6284801262943186	0.015187384312234826	1e-06
158.0	0.6261379361411743	0.015141839828604719	1e-06
159.0	0.6283098241644441	0.015198587056368841	1e-06
160.0	0.6253688438940699	0.015166353614913195	1e-06
161.0	0.6225221522176025	0.015124416533047197	1e-06
162.0	0.6207212138393339	0.015129598462708565	1e-06
163.0	0.6180238615164436	0.015087936046363815	1e-06
164.0	0.6152624129322734	0.01505470951811254	1e-06
165.0	0.6125644195927635	0.015017829182545347	1e-06
166.0	0.6106510418674375	0.014975923988376293	1e-06
167.0	0.6083787359966152	0.01493478706013043	1e-06
168.0	0.6059116763822532	0.014896565738494964	1e-06
169.0	0.6034422736740674	0.014860298095198699	1e-06
170.0	0.6009973729305639	0.01482540344565004	1e-06
171.0	0.5986633848044612	0.01478906800891888	1e-06
172.0	0.5963315801527295	0.014754312091045595	1e-06
173.0	0.5986762636352159	0.014748272212916648	1e-06
174.0	0.5969519813422597	0.014704283888830086	1e-06
175.0	0.594949497240819	0.014636968381987069	1e-06
176.0	0.5966403128990158	0.014777017270636086	1e-06
177.0	0.5961309902392102	0.014752494821658121	1e-06
178.0	0.59383504863472	0.014725761019905808	1e-06
179.0	0.5976357361412663	0.01474637915472266	1e-06
180.0	0.5955024971421049	0.01472716974522553	1e-06
181.0	0.5952695011274294	0.014707385869544504	1e-06
182.0	0.5947382302396401	0.014800266282068035	1e-06
183.0	0.5924603496813264	0.014771772933147551	1e-06
184.0	0.5902857440383308	0.014738314524953389	1e-06
185.0	0.5918788664224622	0.014992935125218949	1e-06
186.0	0.5898398478934235	0.014955404924832567	1e-06
187.0	0.5875739183742001	0.014923325754281692	1e-06
188.0	0.5856838278393967	0.014886619386085443	1e-06
189.0	0.5835512646606212	0.014852919334766297	1e-06
190.0	0.5814789544354031	0.01481926728882607	1e-06
191.0	0.5793904534910498	0.014787702990403663	1e-06
192.0	0.5803998806184937	0.014972616699593252	1e-06
193.0	0.5784093013849999	0.014936876432308746	1e-06
194.0	0.5762912288244608	0.014904463923685923	1e-06
195.0	0.5741781387058659	0.014876765074814453	1e-06
196.0	0.5720970775557823	0.014847358014759096	1e-06
197.0	0.5701023187457575	0.0148152000294351	1e-06
198.0	0.5708183763606899	0.014975146562571805	1e-06
199.0	0.5687725479839059	0.014942552474349762	1e-06
200.0	0.5668590947652021	0.014908613182902148	1e-06
201.0	0.5648826842754409	0.014876590083568798	1e-06
202.0	0.5633666307194765	0.01484272308548017	1e-06
203.0	0.5615504519146051	0.01481011863963942	1e-06
204.0	0.5596589091304323	0.01477937891843225	1e-06
205.0	0.5584156522387007	0.01474736133002352	1e-06
206.0	0.556550501542016	0.014719404406561547	1e-06
207.0	0.5548938108565389	0.014688150166286334	1e-06
208.0	0.5531824087059554	0.014658006303259426	1e-06
209.0	0.551513986239306	0.014628197865589077	1e-06
