n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime, condition, aqauxdata
1, -0.24158936187498825, -0.85405676776165, 0.05, [nan], 5.963345027477773, 1.0, -0.24158936187498825, -0.85405676776165, 5.993468263437618,0.0002910000000000412, 0.0005279999999998619, 9.700000000001374e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
2, 0.1962521135877715, 0.14508354395577672, 0.05, [nan], 1.188632139307127, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.0001609999999998557, 0.0003370000000000317, 5.900000000003125e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
3, 0.8995852621447897, -0.9049167895780124, 0.05, [nan], 7.974684637962146, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.00013900000000011126, 0.00020799999999998597, 5.499999999991623e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
4, -0.9941121469618501, 0.38479734032562396, 0.05, [nan], 7.018511040078361, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.000132000000000021, 0.00028999999999990145, 5.6000000000056005e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
5, -0.9042168555866805, -0.8774261394073952, 0.05, [nan], 7.939825453197678, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.00015699999999996272, 0.0001980000000001425, 4.300000000001525e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
6, -0.8836899188342782, 0.72596948574874, 0.05, [nan], 5.696486315270759, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.0001449999999998397, 0.00022300000000008424, 4.2000000000097515e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
7, -0.03030225991327251, 0.8547015924464316, 0.05, [nan], 5.839712946647444, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.00011699999999992272, 0.00018600000000001948, 5.500000000013827e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
8, 0.5438937426467931, 0.7556305931176241, 0.05, [nan], 2.192920316422696, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.00012999999999996348, 0.00017399999999989646, 4.2000000000097515e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
9, 0.17532896311581636, -0.3845908008699601, 0.05, [nan], 4.539737498712001, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.0001180000000000625, 0.00018699999999993722, 5.6000000000056005e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
10, -0.5064994662498574, 0.38944473585601425, 0.05, [nan], 2.571942346363347, 1.0, 0.1962521135877715, 0.14508354395577672, 1.1619323306430318,0.0001420000000000865, 0.00017199999999983895, 5.500000000013827e-05, 23:25:53  04-10-20,0.0,host broman-Aspire-V5-591G
11, 0.18993906931122778, 0.1451424571586878, 0.05, [nan], 1.2134132035448577, 1.0, 0.19032598056242492, 0.14511680451379202, 1.2477637575578446,31.878576, 0.0003560000000035757, 0.10377399999999426, 23:26:20  04-10-20,0.0,AQvalue [0.22],HYPstats {'mean': array([2.25  0.02  0.08])  'std': array([0.46  0.02  0.30])  'min': array([1.45  0.00  0.00])  'max': array([3.07  0.08  1.64 ])},HYPdraws [array([2.34   0.07   0.00])  array([2.38e+00  6.82e-02  1.91e-03])  array([1.45  0.07  0.00])  array([1.85  0.08  0.00])  array([2.89  0.00  0.03])  array([2.90  0.00  0.01])  array([2.66  0.07  0.20])  array([2.29  0.00  0.01])  array([1.45  0.01  0.05])  array([1.55  0.00  0.01])  array([2.47  0.01  0.00])  array([2.04  0.00  0.01])  array([2.03e+00  1.67e-03  3.85e-03])  array([2.15e+00  3.81e-02  1.87e-03])  array([2.06   0.00  0.00])  array([2.85  0.01  1.64 ])  array([2.35e+00  4.09e-03  2.10e-03])  array([2.68  0.03   0.01])  array([3.07  0.02  0.04])  array([1.86  0.00  0.03])  array([2.07  0.01  0.04])  array([2.30  0.07  0.02])  array([2.85e+00  2.37e-03  1.96e-02])  array([2.94e+00  5.44e-03  1.70e-03])  array([2.23e+00  1.91e-03  7.21e-03])  array([1.50  0.03   0.00])  array([1.96  0.00  0.02])  array([1.92  0.02  0.00])],mindraws [[ 0.20  -0.39]; [-0.53 -0.66]; [-0.80  0.35]; [-0.08 -0.62]; [-0.29   0.84]; [-0.37  -0.75]; [-0.00  0.72]; [-0.00  0.72]; [-0.72  0.02]; [-0.51  0.38]; [-0.50  0.38]; [ 0.54  0.75]; [-0.40  0.56]; [ 0.40  0.91]; [ 0.15 -0.70]; [-0.94 -0.41]; [-0.10 -0.68]; [-0.36  0.99]; [ 0.18 -0.39]; [ 0.71 -0.16]; [ 0.57 -0.92]; [-0.40 -0.36]; [ 0.67 -0.58]; [ 0.16 -0.39 ]; [ 0.15 -0.41]; [ 0.81  0.19]; [-0.09  0.33]; [ 0.19  0.14]; [ 0.19  0.14]; [ 0.61  0.02]; [ 0.19  0.14]; [ 0.54  0.75]; [ 0.08 -0.37]; [-0.32  0.33]; [-0.67  0.02]; [ 0.19  0.14]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.22],kindex 9,PIatX [0.25],host broman-Aspire-V5-591G
12, 0.21180966672500753, 0.15182181051586008, 0.05, [nan], 1.0464994917802766, 1.0, 0.19611745406252426, 0.14547772627111707, 1.1707593718367073,31.692034000000007, 0.00037100000000123146, 0.10316100000000006, 23:26:47  04-10-20,0.0,AQvalue [0.22],HYPstats {'mean': array([2.62  0.10  0.10 ])  'std': array([0.59  0.12  0.31])  'min': array([1.66  0.00  0.00])  'max': array([3.92  0.52  1.68])},HYPdraws [array([2.80e+00  1.92e-03  5.48e-03])  array([3.21  0.03  0.02])  array([2.53  0.11  0.00])  array([2.50  0.52  0.00])  array([3.92  0.13  0.07])  array([3.69e+00  7.37e-02  2.94e-03])  array([1.99  0.00  0.07])  array([3.22  0.04  0.00])  array([2.48  0.00  0.01])  array([2.17e+00  2.47e-02  2.04e-03])  array([2.62  0.10  0.00])  array([1.74  0.02  0.11])  array([2.04  0.20  0.00])  array([2.44  0.10   0.07])  array([2.48  0.09  0.01])  array([2.49  0.12  0.02])  array([2.97   0.01  0.01])  array([1.66  0.02   0.02])  array([3.48  0.04  0.00])  array([2.63  0.19  0.39])  array([2.71  0.03  0.16])  array([2.19  0.46  0.10])  array([2.49  0.23  0.04])  array([1.94  0.08  0.00])  array([3.56  0.00   0.02])  array([2.97   0.17  0.00])  array([2.81  0.10  1.68])  array([1.69  0.04  0.03])],mindraws [[ 0.63 -0.38]; [ 0.20  0.14]; [-0.86 -0.48]; [ 0.20  0.13]; [-0.30  -0.31]; [-0.75  0.50]; [-0.55   0.41]; [-0.49  0.40  ]; [-0.61 -0.40]; [ 0.10  0.84]; [ 0.19  0.14]; [ 0.75   0.40]; [-0.33  0.98]; [ 0.23 -0.98]; [-0.86 -0.37]; [ 0.52 -0.12]; [ 0.24 -0.39]; [-0.10 -0.69]; [-0.50  0.39]; [-0.85 -0.20]; [ 0.23 -0.98]; [-0.66   0.07]; [ 0.19  0.14]; [-0.38 -0.65]; [ 0.94 -0.48 ]; [-0.82 -0.28]; [ 0.10   0.22]; [ 0.75 -0.91]; [ 0.39 -0.59]; [-0.86 -0.37]; [ 0.55  0.75]; [-0.49  0.37]; [-0.44 -0.99]; [ 0.23 -0.98]; [ 0.53  0.74]; [-0.29  0.27 ]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.22],kindex 9,PIatX [0.24],host broman-Aspire-V5-591G
13, 0.2096555806672573, 0.16919696520506836, 0.05, [nan], 1.3819688058514192, 1.0, 0.2044403861015264, 0.1514695208169913, 1.1498921577062364,32.012063999999995, 0.00040500000000065484, 0.10390700000000663, 23:27:14  04-10-20,0.0,AQvalue [0.24],HYPstats {'mean': array([2.34  0.17  0.08])  'std': array([0.42    0.15  0.14])  'min': array([1.62e+00  3.20e-02  1.61e-03])  'max': array([3.01  0.59  0.54])},HYPdraws [array([1.65  0.05  0.02])  array([1.93  0.13  0.48 ])  array([1.77  0.06   0.54])  array([2.94  0.50  0.38])  array([2.22  0.11  0.03])  array([2.38  0.06  0.05])  array([2.32  0.24   0.00])  array([2.66  0.55  0.10])  array([2.69  0.14  0.00])  array([2.33e+00  1.78e-01  1.61e-03])  array([2.98  0.19    0.15])  array([1.75  0.24  0.04])  array([2.16  0.16  0.00])  array([1.73  0.07  0.03])  array([2.08   0.09   0.02])  array([2.01  0.03  0.02])  array([2.01  0.10  0.20])  array([2.69  0.41  0.00])  array([2.36  0.06   0.00])  array([2.07  0.11  0.08])  array([2.62  0.21  0.06])  array([2.47  0.03  0.01])  array([2.45  0.08  0.00])  array([2.79  0.11  0.00])  array([1.62  0.23  0.01])  array([3.01  0.03  0.01])  array([2.84  0.03  0.00])  array([2.89  0.59  0.02])],mindraws [[ 0.23   0.98]; [-0.42 -0.77]; [ 0.39  0.08]; [-0.14 -1.        ]; [ 0.04 -1.        ]; [-0.45 -0.32]; [ 0.50 -0.64]; [ 0.42 -0.14]; [ 0.48  0.75]; [-0.17  0.78]; [-0.03  0.50]; [-1.         -0.12]; [-1.          0.88]; [-0.86  0.24 ]; [ 0.69 -0.70]; [-0.80  0.99]; [-0.42 -0.29]; [-0.18  0.68]; [-0.56  0.39]; [-0.30  -0.02]; [-0.58 -0.64]; [-0.70   0.11]; [-0.13  0.37]; [-0.57  0.37]; [ 0.29  0.76]; [ 0.12  0.15 ]; [-0.57 -0.63]; [-0.18  0.68]; [-0.55  0.39]; [ 0.33  0.80]; [ 0.19  0.16]; [-0.33  0.38]; [-0.48  0.39]; [-1.         -0.17  ]; [ 0.28  0.14 ]; [-1.         -0.70]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.24],kindex 9,PIatX [0.24],host broman-Aspire-V5-591G
14, 0.2970586343247353, 0.13780733151487595, 0.05, [nan], 0.6417087049459351, 1.0, 0.2944555227877362, 0.1378770095362994, 0.5979552357975861,30.627978999999996, 0.00038500000002272827, 0.10619399999998791, 23:27:40  04-10-20,0.0,AQvalue [0.29],HYPstats {'mean': array([2.44  0.21  0.18])  'std': array([0.48  0.20  0.19])  'min': array([1.93  0.02  0.00])  'max': array([3.62  0.78  0.76])},HYPdraws [array([1.93  0.02  0.59  ])  array([2.24   0.07  0.25])  array([1.99  0.13  0.12 ])  array([2.15  0.08  0.00])  array([2.42  0.19   0.10])  array([2.24  0.05  0.22 ])  array([2.27  0.39  0.09])  array([2.62  0.20  0.06])  array([1.93  0.10  0.07])  array([2.92  0.63  0.12])  array([2.46  0.09  0.29])  array([2.00  0.05  0.20])  array([2.96  0.78  0.76])  array([2.12  0.09   0.03])  array([3.62  0.54  0.15])  array([2.17  0.05    0.12])  array([2.52  0.15  0.05])  array([2.06  0.02  0.10])  array([3.13  0.64   0.69])  array([3.36   0.04  0.38])  array([2.04  0.18  0.03])  array([2.02  0.23  0.04])  array([2.50  0.36  0.16])  array([2.16  0.31   0.03])  array([3.56  0.27  0.21])  array([2.47  0.07  0.17])  array([2.20  0.18  0.09])  array([2.30   0.08  0.01])],mindraws [[ 5.69e-01  7.40e-01]; [ 2.73e-01  1.45e-01]; [-5.93e-01 -5.82e-01]; [-1.14e-01 -5.12e-02]; [ 2.99e-01  1.56e-01]; [-3.38e-01  4.11e-01]; [ 5.10e-01  8.75e-01]; [ 6.45e-01  7.70e-01]; [ 2.74e-01  1.36e-01]; [-2.15e-01 -1.56e-01]; [ 1.15e-01  1.52e-01]; [-6.54e-01  1.08e-01]; [-9.70e-01  9.43e-01]; [ 8.52e-01  8.61e-01]; [ 2.47e-01  1.54e-01]; [ 4.57e-02  3.61e-01]; [ 9.68e-01  3.14e-01]; [ 1.55e-01 -2.52e-04]; [ 7.96e-01 -7.00e-01]; [-3.81e-01  2.90e-02]; [ 3.19e-01  1.45e-01]; [ 2.74e-01  1.36e-01]; [ 9.09e-02  4.12e-01]; [ 6.94e-02  1.37e-02]; [ 5.06e-01 -5.15e-01]; [ 9.99e-02  1.44e-01]; [ 9.73e-01  8.87e-01]; [ 2.46e-01 -6.98e-01]; [ 2.07e-01  1.36e-01]; [ 7.60e-01  1.32e-01]; [ 4.39e-01  4.54e-01]; [ 1.19e-01  1.41e-01]; [ 9.45e-01  5.57e-01]; [ 7.45e-01  5.65e-01]; [ 6.12e-01  7.24e-01]; [-1.08e-02  2.45e-01]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.29],kindex 9,PIatX [0.26],host broman-Aspire-V5-591G
15, 0.4022302429456585, 0.12886933248272187, 0.05, [nan], 2.8722228197249593, 1.0, 0.2884039356827832, 0.13912743549124, 0.4551099041737003,30.441419999999994, 0.0003810000000044056, 0.10515000000000896, 23:28:06  04-10-20,0.0,AQvalue [0.27],HYPstats {'mean': array([2.40  0.26  0.17])  'std': array([0.49  0.20  0.28])  'min': array([1.61  0.02  0.00])  'max': array([3.63  0.89  1.52])},HYPdraws [array([3.12  0.18    1.52])  array([1.93  0.11  0.32])  array([2.15  0.29   0.11 ])  array([2.10  0.44  0.04 ])  array([2.15  0.16  0.13])  array([1.98  0.45  0.28])  array([2.33  0.27  0.27])  array([2.06  0.08  0.16])  array([2.11  0.16  0.14])  array([1.69  0.37  0.04])  array([2.32  0.22  0.03])  array([1.98  0.22  0.05])  array([2.48  0.58  0.56 ])  array([3.63  0.67  0.15])  array([2.30  0.15  0.04])  array([3.34  0.89  0.03 ])  array([1.61  0.34  0.03])  array([3.12   0.08  0.00])  array([2.65  0.53  0.03])  array([2.30  0.36  0.09])  array([2.14  0.02  0.05])  array([2.52  0.08  0.26])  array([3.12  0.06  0.02])  array([2.98  0.15  0.04])  array([2.34  0.11  0.02])  array([2.11  0.29   0.18])  array([1.89   0.03  0.09])  array([2.63  0.06  0.02])],mindraws [[ 0.65  0.78]; [ 0.66 -0.61]; [ 0.53  0.27]; [-0.13  0.56]; [ 0.27  -0.08]; [ 0.03 -0.09]; [-0.46 -0.53]; [ 0.05 -0.53]; [-0.16 -0.52  ]; [ 0.07  0.68]; [ 0.67  0.40]; [-0.20  0.49]; [-0.56  0.53]; [-0.42  0.61]; [-0.51   0.06]; [-0.00   0.51]; [-0.56  0.53]; [ 0.67  0.40]; [ 0.90  0.42]; [-0.25  0.36]; [ 0.03 -0.09]; [ 0.15 -0.96]; [ 0.93  0.31]; [ 0.23  0.64 ]; [ 0.36  0.14]; [ 0.71  0.16]; [-0.16 -0.15]; [ 0.31  -0.25]; [ 0.38  0.13]; [-0.42  0.61]; [-0.20  0.37 ]; [ 0.34  0.15]; [ 0.45  0.79 ]; [ 0.75 -0.10]; [-0.20  0.49]; [ 0.37  0.12]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.27],kindex 9,PIatX [0.29],host broman-Aspire-V5-591G
16, 0.26449296898069363, 0.0724704964771852, 0.05, [nan], 1.1283384450319653, 1.0, 0.28396620742716355, 0.13837948914339573, 0.38902952961536835,29.694770000000005, 0.000388000000015154, 0.10878499999998326, 23:28:31  04-10-20,0.0,AQvalue [0.25],HYPstats {'mean': array([2.42  0.14  0.15])  'std': array([0.47  0.06  0.17])  'min': array([1.54  0.02  0.00 ])  'max': array([3.48  0.29  0.95])},HYPdraws [array([2.93  0.09  0.04])  array([1.85  0.13   0.18])  array([2.24  0.12  0.14 ])  array([2.69  0.10  0.08])  array([3.48  0.18  0.05])  array([2.47   0.20  0.06])  array([2.64  0.19  0.25])  array([2.64  0.13  0.17])  array([2.72  0.11  0.08])  array([2.09   0.29  0.07])  array([2.48  0.08  0.08 ])  array([2.34  0.09  0.11])  array([2.68  0.21  0.26])  array([2.80  0.05  0.15])  array([3.15  0.02  0.01])  array([1.90  0.14  0.00 ])  array([1.69  0.08  0.13])  array([2.96  0.26   0.38])  array([2.55  0.03  0.15])  array([1.68  0.12  0.19 ])  array([2.54  0.17  0.95])  array([1.66   0.19  0.04])  array([1.91  0.07  0.05 ])  array([1.54  0.13   0.02])  array([2.72  0.14  0.17])  array([2.58  0.26  0.10])  array([2.47  0.19  0.20])  array([2.30  0.12  0.08 ])],mindraws [[ 0.07  0.58]; [-0.68  0.98]; [-0.12 -0.28]; [-0.68  0.98]; [ 0.31  0.72]; [ 0.67  0.72]; [-0.72   0.35]; [ 0.97 -0.10]; [ 0.33  0.16]; [ 0.28  0.07]; [-0.37 -0.40]; [-0.29 -0.46]; [ 0.46  0.76]; [ 0.00 -0.93]; [ 0.24  0.10]; [ 0.65 -0.78]; [-0.26 -0.06]; [ 0.12  0.70]; [ 0.85 -0.10]; [ 0.28  0.07]; [ 0.35 -0.14]; [ 0.59 -0.13]; [ 0.41  0.78]; [ 0.68 -0.30]; [ 0.62 -0.74 ]; [ 0.30   0.40]; [ 0.32   0.26]; [ 0.81  0.04]; [ 0.91  0.98]; [ 0.59  0.95]; [-0.14  0.75]; [ 0.64  0.69]; [ 0.30  0.43]; [ 0.98 -0.49]; [-0.51  0.27]; [-0.57  0.05]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.25],kindex 9,PIatX [0.30],host broman-Aspire-V5-591G
17, 0.2861546552238163, 0.4913856724416057, 0.05, [nan], 3.8600613499443743, 1.0, 0.29553685199177254, 0.13722384881052704, 0.6331356465051851,29.606139000000013, 0.00037799999998355815, 0.1067950000000053, 23:28:56  04-10-20,0.0,AQvalue [0.24],HYPstats {'mean': array([2.58  0.16   0.33])  'std': array([0.63  0.07  0.31])  'min': array([1.71  0.00  0.01])  'max': array([3.82  0.32  1.28])},HYPdraws [array([3.59  0.14  0.50])  array([3.13  0.20  0.78 ])  array([2.83  0.12  0.56])  array([3.72  0.17  0.41])  array([3.18   0.13  0.29])  array([2.06  0.15  0.74])  array([2.13  0.16  0.10])  array([2.89  0.16  0.20])  array([2.09  0.16  1.07])  array([1.96  0.14  0.12])  array([2.40  0.17  0.10 ])  array([2.74  0.09  0.10])  array([1.71  0.24  0.08])  array([1.82  0.10  0.20])  array([3.17  0.06  0.20])  array([2.43   0.32  0.19])  array([3.82  0.26  0.32])  array([3.24  0.24  0.08])  array([3.53   0.29  1.28])  array([2.56  0.11  0.10])  array([1.87  0.23    0.51])  array([1.93   0.12  0.17])  array([1.72  0.07  0.01])  array([2.30  0.00  0.07 ])  array([2.11    0.11  0.10])  array([2.51  0.11  0.61])  array([1.98  0.10  0.05])  array([2.78  0.20  0.20])],mindraws [[ 0.87  0.00]; [ 0.64  -0.14]; [-0.31  0.13 ]; [ 0.55  0.63]; [-0.02 -0.10]; [-0.38  0.79]; [ 0.39  0.77]; [-0.32 -0.20]; [ 0.66  0.11 ]; [-0.36  0.89]; [-0.51  0.50]; [-0.01  0.47]; [-0.53  0.13 ]; [-0.06 -0.32]; [ 0.94  0.66]; [ 0.30  0.18]; [-0.32 -0.20]; [ 0.27 -0.79]; [-0.93 -0.31]; [ 0.42 -0.38]; [-0.12  0.42]; [ 0.13  0.06]; [ 0.80  0.41 ]; [ 0.66  0.11 ]; [ 0.51 -0.95]; [-0.02 -0.10]; [ 0.20  0.54]; [-0.27 -0.09]; [ 0.62  0.40]; [-0.36  0.43]; [ 0.39 -0.09]; [-0.62  0.32 ]; [ 0.62  0.77]; [-0.01  0.47]; [-0.40  0.24]; [ 0.22  0.79]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.24],kindex 9,PIatX [0.20],host broman-Aspire-V5-591G
18, 0.2949011165957166, 0.12390030049473405, 0.05, [nan], 0.8638741148250321, 1.0, 0.2969346999345864, 0.13782862320237105, 0.6522666068962951,30.240546999999992, 0.0003969999999924312, 0.11035499999999843, 23:29:22  04-10-20,0.0,AQvalue [0.21],HYPstats {'mean': array([2.29  0.12  0.20])  'std': array([0.46  0.06  0.15])  'min': array([1.67  0.00  0.00])  'max': array([3.54  0.25  0.56])},HYPdraws [array([3.54  0.06  0.11])  array([1.93  0.11  0.26])  array([2.36e+00  2.12e-03  2.66e-03])  array([2.91  0.06  0.32])  array([2.04  0.01  0.09 ])  array([2.09  0.10  0.09])  array([2.11  0.14  0.04])  array([1.82  0.25  0.28])  array([2.74  0.17  0.34])  array([2.78  0.19  0.05])  array([3.31  0.22   0.54])  array([1.67  0.18  0.02])  array([2.68  0.25  0.19])  array([2.03  0.16  0.12])  array([3.03  0.16  0.46])  array([2.35  0.15  0.13])  array([2.07    0.04  0.23])  array([2.08  0.17   0.11])  array([1.89  0.07  0.27])  array([2.10  0.13  0.20])  array([2.34  0.13  0.56])  array([2.19  0.13  0.11])  array([1.96  0.15  0.14])  array([1.95  0.11   0.32])  array([1.98  0.10  0.36])  array([2.05  0.02  0.00])  array([2.24  0.08  0.14  ])  array([1.73   0.08  0.16])],mindraws [[ 0.29  0.14]; [ 0.72  0.15]; [ 0.99 -0.04 ]; [ 0.34  0.05]; [ 0.62 -0.60]; [ 0.29  0.15]; [-0.41  0.15]; [ 0.69  0.56]; [-0.04 -0.70]; [ 0.88  0.47]; [-0.16   0.85]; [-0.31  0.26]; [-0.48 -0.28]; [ 0.43 -0.34]; [ 0.16  0.78]; [-0.48 -0.28]; [-0.44  0.95]; [ 0.89  0.88]; [-0.57  -0.97]; [-0.41 -0.72]; [ 0.29  0.12]; [-0.61 -0.13]; [ 0.83  0.23]; [ 0.55 -0.57]; [ 0.45  0.98]; [ 0.52 -0.35 ]; [-0.16  0.14]; [-0.48 -0.28]; [-0.22 -0.42]; [-0.31  0.26]; [ 0.29  0.12]; [-0.74 -0.34]; [ 0.99 -0.42]; [ 0.29   0.14]; [-0.56 -0.01]; [ 0.59  0.87]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.21],kindex 9,PIatX [0.36],host broman-Aspire-V5-591G
19, 0.7446546552867195, 0.9748239584145044, 0.05, [nan], 2.4756843087177063, 1.0, 0.28067586205043027, 0.1403629946471444, 0.3113929096425535,29.427272999999985, 0.0003760000000170294, 0.10680200000001605, 23:29:47  04-10-20,0.0,AQvalue [0.21],HYPstats {'mean': array([2.76  0.17  0.27])  'std': array([0.80  0.08  0.18])  'min': array([1.74  0.04  0.06])  'max': array([6.00  0.36  0.93])},HYPdraws [array([2.23  0.14   0.26 ])  array([2.38  0.23  0.32])  array([2.84  0.05  0.10])  array([2.44  0.17  0.35])  array([3.97  0.29  0.11])  array([2.78  0.13  0.25])  array([2.37  0.23  0.14])  array([1.93  0.17  0.07])  array([2.00  0.13  0.34])  array([2.51  0.21  0.13])  array([2.15  0.18  0.30])  array([3.40  0.36  0.58])  array([3.53  0.20  0.37])  array([2.17  0.06  0.35])  array([2.62   0.12  0.13])  array([2.90  0.21  0.50])  array([2.69  0.16  0.11])  array([2.88   0.18  0.06])  array([2.33  0.18  0.26])  array([6.00  0.34  0.93])  array([2.87  0.08  0.20])  array([2.15  0.16   0.21])  array([2.51  0.07  0.14])  array([3.35   0.04  0.11])  array([3.23  0.21  0.21])  array([2.48  0.32  0.39])  array([2.92  0.06  0.50])  array([1.74  0.18  0.23])],mindraws [[ 0.76  0.22]; [-0.44  0.01 ]; [ 0.83  0.70]; [ 0.79   0.80 ]; [ 0.49  0.89]; [-0.59 -0.02]; [ 0.88 -0.58]; [ 0.66  1.        ]; [-0.42  0.92]; [-0.67  0.22]; [-0.65  0.75]; [ 0.42  0.67]; [-0.78 -0.37]; [ 0.61 -0.15 ]; [ 0.51  1.        ]; [ 0.55  0.28]; [-0.69 -0.06]; [ 0.49  0.35]; [-0.69  0.91 ]; [-0.24 -0.37]; [-0.24  0.73]; [-0.51 -0.82]; [-1.         -0.21]; [-0.51 -0.82]; [ 0.47 -0.41]; [-0.34  0.32]; [ 0.75   0.36]; [ 0.76  0.92]; [-0.53 -0.12]; [ 0.68 -0.34]; [ 0.75  1.        ]; [-0.79  0.01]; [-0.25  0.91]; [-0.12  0.01]; [-0.60  0.25]; [ 0.64  0.52]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.21],kindex 9,PIatX [0.17],host broman-Aspire-V5-591G
20, 0.697467944168061, 0.6442010051867735, 0.05, [nan], 3.9422197884489165, 1.0, 0.2844580070391473, 0.13800962469499434, 0.4029532896470162,29.70860700000003, 0.0003699999999753345, 0.10867200000001276, 23:30:12  04-10-20,0.0,AQvalue [0.19],HYPstats {'mean': array([2.37    0.13  0.23 ])  'std': array([0.50  0.05  0.15])  'min': array([1.41  0.04  0.02])  'max': array([4.29  0.22  0.65])},HYPdraws [array([2.56  0.17  0.38])  array([2.85  0.20  0.19])  array([2.51  0.12  0.38])  array([1.66  0.13  0.47])  array([2.83  0.12  0.11])  array([2.22  0.07  0.18])  array([2.21  0.22  0.21])  array([2.13  0.19  0.19])  array([2.29   0.10  0.07])  array([2.13  0.09   0.20])  array([4.29  0.06   0.31])  array([2.59  0.20  0.52])  array([2.30  0.04  0.03])  array([2.06  0.08  0.30 ])  array([2.19  0.14  0.10])  array([1.75  0.06   0.04])  array([2.47  0.22  0.26])  array([2.41  0.16  0.33])  array([2.00  0.14  0.10])  array([2.32  0.22  0.13])  array([2.07  0.12  0.35])  array([1.41  0.12  0.18])  array([3.07  0.16  0.65])  array([2.69  0.08  0.24])  array([2.53  0.07  0.02])  array([2.34  0.04  0.15])  array([2.24  0.18  0.34])  array([2.28  0.17   0.06])],mindraws [[ 0.03  0.39]; [-0.40 -0.08]; [-0.45  0.18]; [ 0.89  0.98]; [ 0.48  0.88]; [ 0.54  0.94]; [-0.35  0.04]; [ 0.93  0.24]; [ 1.          0.78]; [ 0.69  0.69]; [-0.46   0.58]; [ 0.55   1.        ]; [ 0.38 -0.92]; [ 0.60  0.84]; [ 0.60  -0.23]; [ 0.21 -0.04]; [ 0.40 -0.32]; [ 0.29  0.22]; [-0.58  0.53]; [ 0.72  0.63]; [ 0.84 -0.28]; [-0.65  0.40]; [ 0.06  0.41]; [-0.55  0.74]; [ 0.63  0.78]; [ 0.43  0.49]; [-0.67 -0.85]; [ 0.66   0.85]; [ 0.22  0.10]; [-0.75  0.72]; [-0.62 -0.93]; [-0.76 -0.01]; [ 0.60 -0.90]; [ 0.50 -0.69]; [ 0.68  0.62]; [ 0.02 -0.44  ]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.19],kindex 9,PIatX [0.14],host broman-Aspire-V5-591G
