n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime, condition, aqauxdata
1, 0.10353375044275737, 0.287108493930883, 0.0, [nan], 3.76320932233163, 1.0, 0.10353375044275737, 0.287108493930883, 3.76320932233163,0.00020199999999981344, 0.0003389999999998672, 6.200000000022854e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
2, -0.7189849391563579, 0.37544721435011263, 0.0, [nan], 3.5146531793627744, 1.0, -0.7189849391563579, 0.37544721435011263, 3.5146531793627744,0.00013700000000005375, 0.00020700000000006824, 4.599999999976845e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
3, 0.18855192740901994, 0.0791019231095913, 0.0, [nan], 3.0254094931966815, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00012200000000017752, 0.00019100000000005224, 4.399999999993298e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
4, 0.6292118253114929, 0.47183163979895104, 0.0, [nan], 3.7857679359508976, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00012200000000017752, 0.00018500000000010175, 4.2999999999793204e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
5, -0.06700087673463084, -0.7346899108319704, 0.0, [nan], 3.690308909018789, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00011999999999989797, 0.00018699999999993722, 4.2999999999793204e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
6, -0.27146682325862415, 0.6070903474373657, 0.0, [nan], 3.4819245204443567, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00011900000000020228, 0.00018599999999979744, 4.2000000000097515e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
7, -0.3996385153123039, -0.921877146870896, 0.0, [nan], 3.682756327071616, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00012000000000034206, 0.00018599999999979744, 4.600000000021254e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
8, 0.2595870352306684, 0.5669805905579457, 0.0, [nan], 3.323713553432647, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00012100000000003774, 0.00018399999999996197, 4.2999999999793204e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
9, -0.3615422805526014, 0.9860230507115122, 0.0, [nan], 3.539201305473605, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00011899999999975819, 0.00018399999999996197, 4.300000000023729e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
10, 0.1544810394851972, 0.7234978323610464, 0.0, [nan], 3.5733237959092867, 1.0, 0.18855192740901994, 0.0791019231095913, 3.0254094931966815,0.00011900000000020228, 0.00018399999999996197, 4.2000000000097515e-05, 14:28:57  11-06-20,0.0,host broman-Aspire-V5-591G
11, 0.18867300495797737, 0.07450606857143678, 0.0, [nan], 2.9785136714869225, 1.0, 0.18898312651641153, 0.07486841011551953, 2.9816794004381157,34.073631, 0.00041800000000336013, 0.11108300000000071, 14:29:26  11-06-20,0.0,AQvalue [0.41],HYPstats {'mean': array([0.22  0.29  0.19])  'std': array([0.05  1.11  0.87])  'min': array([0.14  0.00  0.00])  'max': array([0.36  5.97  4.73])},HYPdraws [array([0.18  0.00  0.05])  array([0.32  0.00  0.01])  array([0.21  0.00  0.06])  array([0.22  0.01  0.02])  array([0.25  0.62  0.01])  array([0.14  0.00  0.00])  array([1.56e-01  1.76e-03  4.73e+00])  array([0.25  0.00  0.01])  array([0.26  0.00  0.09 ])  array([0.17  0.01  0.04])  array([0.25   0.00  0.00])  array([0.19  0.00  0.01])  array([0.22  0.00  0.01])  array([0.19  0.00    0.02])  array([0.16  0.02  0.04])  array([0.22   0.00  0.00])  array([0.23  0.03  0.00])  array([0.18  0.11  0.00])  array([0.17  0.00  0.00])  array([0.36  0.05  0.00])  array([0.19  0.00  0.00])  array([0.31  0.13  0.04])  array([0.27  0.03   0.01])  array([0.23  0.25  0.00])  array([0.19  0.00  0.00])  array([0.19    0.93  0.00 ])  array([0.15  0.01  0.00])  array([0.26  5.97  0.05])],mindraws [[ 0.18  0.07]; [ 0.30 -0.78]; [-0.64  0.35]; [ 0.19  0.07]; [-0.06 -0.95]; [-0.36 -0.32]; [ 0.19  0.07]; [ 0.21 -0.28]; [ 1.          0.08]; [ 0.47  0.09]; [ 0.18  0.08]; [ 0.74  0.96]; [-0.31  0.35 ]; [ 0.18  0.07]; [ 0.18  0.08 ]; [ 0.18  0.08]; [ 1.          0.37]; [ 0.18  0.07]; [ 0.18  0.08]; [ 1.          0.41]; [ 0.18  0.08]; [ 0.18  0.07]; [-0.43  0.63]; [ 0.18  0.07]; [-1.          0.99]; [ 1.          0.18]; [ 0.18  0.07]; [ 0.55 -0.04]; [ 0.18  0.07]; [ 1.          0.08]; [ 0.19  0.07]; [ 0.17  -0.53]; [ 1.          0.35]; [ 0.04 -0.70]; [-0.01  0.35]; [ 0.73  0.97]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.41],kindex 9,PIatX [0.25],host broman-Aspire-V5-591G
12, 0.19771161464618092, 0.07538732398224424, 0.0, [nan], 2.9829147653382404, 1.0, 0.1896997367583664, 0.07478989770163813, 2.9789308628093223,32.77864700000001, 0.00038499999999430656, 0.10768400000000611, 14:29:54  11-06-20,0.0,AQvalue [0.30],HYPstats {'mean': array([0.23  0.05  0.02])  'std': array([0.06  0.11  0.03])  'min': array([0.15  0.00  0.00])  'max': array([0.47  0.57  0.17])},HYPdraws [array([0.17  0.00  0.00])  array([0.36  0.00  0.01])  array([0.15  0.00  0.03])  array([0.20  0.00  0.01])  array([0.18  0.00  0.00])  array([0.22  0.57  0.02])  array([0.47  0.00  0.17])  array([0.21  0.01  0.01])  array([0.20  0.00   0.02])  array([0.26   0.02  0.02])  array([0.24  0.01  0.03])  array([0.24  0.06  0.05])  array([0.24  0.01  0.00])  array([0.21  0.03  0.02])  array([0.20  0.01  0.00])  array([0.19  0.00  0.00])  array([0.24    0.02  0.01])  array([0.31  0.00  0.00])  array([0.18  0.03  0.00 ])  array([0.19  0.01  0.00])  array([0.26  0.01  0.00])  array([0.23  0.01  0.02])  array([0.19  0.32  0.01])  array([0.21  0.12  0.00])  array([0.22  0.03  0.01])  array([0.17  0.05  0.00])  array([0.32  0.15  0.03])  array([0.31  0.00   0.05])],mindraws [[-0.23 -0.39]; [ 0.41 -1.        ]; [ 0.20  0.59]; [ 0.18  0.07]; [ 0.81  1.        ]; [ 1.          0.86]; [-1.          0.36]; [ 1.          0.18]; [ 0.70 -0.00]; [-1.          0.39]; [ 0.67  1.        ]; [-0.43  0.04]; [ 0.19  0.07]; [ 0.52 -0.13]; [ 0.12  0.20]; [ 0.65  0.10]; [-0.97  0.84 ]; [-1.          0.80]; [ 0.24  0.57]; [ 0.18  0.07]; [-0.01  -0.68]; [ 1.          0.58]; [ 0.19  0.08]; [-1.          0.82]; [ 0.81  1.        ]; [-0.05 -0.25]; [ 0.81  0.52]; [ 0.26  0.58]; [-0.17  0.09]; [-0.51  0.65]; [ 0.18  0.07]; [-0.74  0.69]; [ 0.25  0.56]; [ 1.         -0.72]; [-1.         -0.17]; [ 0.18  0.07]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.30],kindex 9,PIatX [0.24],host broman-Aspire-V5-591G
13, 0.22995727254864418, 0.0717891980323077, 0.0, [nan], 3.2127845483866047, 1.0, 0.19118061385294804, 0.07537325132687381, 2.9823490718982506,31.592124, 0.0003530000000040445, 0.11542500000000189, 14:30:21  11-06-20,0.0,AQvalue [0.31],HYPstats {'mean': array([0.25  0.18  0.02])  'std': array([0.06  0.18  0.01])  'min': array([0.16   0.00  0.00])  'max': array([0.43  0.64  0.04])},HYPdraws [array([0.23   0.05  0.02])  array([0.43  0.01  0.03])  array([0.23  0.04  0.02])  array([0.21  0.36  0.03])  array([0.23  0.07  0.01])  array([0.18  0.11  0.01])  array([0.35  0.39  0.02])  array([0.23  0.45  0.03])  array([0.21  0.05  0.03])  array([0.30  0.00  0.01])  array([0.17  0.04  0.04])  array([0.21  0.06  0.02])  array([0.31  0.08  0.01])  array([0.22  0.50  0.00 ])  array([0.28  0.20  0.02])  array([0.34  0.14  0.03])  array([0.20  0.00   0.01])  array([0.27  0.00  0.01])  array([0.30  0.10  0.01])  array([0.19   0.54  0.02])  array([0.16   0.22  0.01])  array([0.37  0.01  0.01])  array([0.21  0.04  0.00])  array([0.19   0.64  0.02 ])  array([0.27  0.08  0.02])  array([0.35  0.15  0.03])  array([0.28  0.30  0.00])  array([0.19  0.39  0.01])],mindraws [[-0.12 -0.43]; [-0.80  -0.82]; [-0.77  -0.75]; [-0.38 -0.64]; [ 0.97 -0.57]; [ 0.18 -0.50]; [ 0.22  0.08]; [-0.73  -0.78]; [-0.38 -0.64]; [ 0.40  0.97]; [ 0.20  0.61 ]; [-0.31   0.48]; [ 0.50 -0.42]; [-0.86  0.98]; [ 0.13  0.07]; [-0.42  0.48]; [ 0.23  0.05]; [ 0.16  0.59]; [-0.05 -0.39]; [ 0.97 -0.25]; [-0.06  0.55  ]; [ 0.14  0.06]; [-0.92 -0.48 ]; [ 0.28  0.07]; [ 0.27  0.06]; [ 0.57 -0.81]; [-0.92  0.92]; [ 0.18 -0.50]; [ 0.24  0.53]; [ 0.73 -0.98]; [-0.03  0.32]; [-0.98 -0.28]; [-0.78 -0.76]; [ 0.23  0.06]; [ 0.71  -0.57]; [-0.13  0.73]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.31],kindex 9,PIatX [0.30],host broman-Aspire-V5-591G
14, 0.14540001326953259, 0.07531808043540669, 0.0, [nan], 3.387059577354995, 1.0, 0.1959424860488458, 0.07427499812995732, 2.9681141405495364,32.228820999999996, 0.00041500000000382897, 0.10972300000000246, 14:30:48  11-06-20,0.0,AQvalue [0.28],HYPstats {'mean': array([0.26  0.07  0.01])  'std': array([0.07  0.07   0.01])  'min': array([0.16  0.00  0.00 ])  'max': array([0.43  0.27  0.09])},HYPdraws [array([0.26  0.06  0.03])  array([0.20  0.04  0.01])  array([0.25  0.04  0.00])  array([0.17  0.02   0.03])  array([0.35  0.02  0.04])  array([0.39  0.27  0.00])  array([0.17  0.23   0.00])  array([0.32   0.01  0.09])  array([0.21  0.04  0.00 ])  array([0.17  0.05  0.01])  array([0.27  0.09  0.00 ])  array([0.30  0.10  0.00])  array([0.28  0.04    0.00])  array([0.31  0.03  0.00 ])  array([0.23  0.02  0.02])  array([0.17  0.08  0.00])  array([0.21  0.04  0.02])  array([0.26  0.03  0.01])  array([0.21   0.04  0.03])  array([0.25  0.04  0.03])  array([0.37  0.03  0.03])  array([0.18  0.03  0.02])  array([0.43  0.20   0.00])  array([0.30  0.00  0.03])  array([0.16  0.08  0.00])  array([0.26  0.15  0.01])  array([0.29  0.24  0.00  ])  array([0.20  0.03  0.02])],mindraws [[-0.81  0.83]; [ 0.99 -0.72]; [ 0.30  0.56]; [ 0.91 -0.99]; [ 0.93  0.46]; [-0.06  0.77]; [-0.19 -0.56]; [ 0.99  0.73]; [ 0.16  0.07]; [ 0.29   -0.24]; [ 0.81  0.76]; [ 0.14  0.07]; [-0.01  0.47]; [ 0.21  0.07]; [ 0.52 -0.22 ]; [-0.64  0.71]; [ 0.29   0.55]; [-0.50  0.12]; [ 0.15   0.07]; [ 0.99  0.73]; [-0.55  0.10]; [ 0.30  0.55]; [ 0.97  0.55]; [ 0.29   0.60 ]; [ 0.57  0.83]; [ 0.31 -0.71  ]; [ 0.20  0.07]; [ 0.19  0.07]; [-0.91  0.66]; [ 0.14  0.07]; [ 0.71  0.08]; [ 0.94 -0.43 ]; [ 0.18  0.60]; [ 0.51  0.04]; [ 0.98 -0.38]; [-0.08 -0.91]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.28],kindex 9,PIatX [0.21],host broman-Aspire-V5-591G
15, 0.19340999283081284, 0.06172275003245864, 0.0, [nan], 2.780646651133033, 1.0, 0.19352302101739646, 0.061327891778697116, 2.7732502530080403,32.75499500000001, 0.00043099999999185457, 0.11198699999999917, 14:31:16  11-06-20,0.0,AQvalue [0.36],HYPstats {'mean': array([0.23  0.03  0.02])  'std': array([0.05  0.01  0.01])  'min': array([0.17  0.00  0.00])  'max': array([0.39  0.06  0.06])},HYPdraws [array([0.28  0.02  0.01 ])  array([0.19  0.03  0.01 ])  array([0.31  0.03  0.02])  array([0.20  0.03  0.04])  array([0.22  0.02  0.02])  array([0.28  0.00  0.00])  array([0.17  0.00  0.01])  array([0.23   0.04  0.02])  array([0.19  0.01  0.02])  array([0.20  0.02  0.00])  array([0.17  0.01  0.03])  array([0.20  0.03  0.03])  array([0.28  0.00  0.02])  array([0.39  0.02  0.05])  array([0.19  0.06  0.00])  array([0.23  0.04  0.02])  array([0.22  0.04  0.02])  array([0.24  0.00  0.02])  array([0.23  0.03  0.01 ])  array([0.33  0.05  0.05])  array([0.27  0.05  0.04])  array([0.20  0.06  0.02])  array([0.22  0.01  0.06])  array([0.28  0.05  0.01])  array([0.24  0.05  0.01])  array([0.17  0.03  0.00])  array([0.20  0.03  0.04 ])  array([0.19  0.02  0.01])],mindraws [[-0.96  0.99]; [ 0.24  0.54]; [ 1.          1.        ]; [ 0.19  0.06]; [ 0.38  0.56]; [ 0.19  0.07]; [-0.30 -0.31]; [ 0.17  0.07]; [ 0.18  0.06]; [ 0.30  0.57]; [-0.97   0.41]; [ 0.19  0.07]; [ 0.06   0.44]; [ 0.84  0.33]; [ 0.87  0.05 ]; [-0.71 -0.85]; [ 0.17  0.07]; [ 0.19  0.07]; [-0.98  0.36]; [ 0.48  0.20]; [ 0.28  0.59]; [-0.47  0.20]; [ 0.19  0.06 ]; [ 0.20  0.06]; [-0.55  0.20]; [ 0.05 -0.93]; [ 0.18   0.07]; [ 0.19  0.07]; [ 0.19  0.06]; [ 0.60 -0.53]; [ 0.49 -0.78]; [ 0.19  0.06]; [-0.18  0.14]; [-0.51 -0.99 ]; [ 0.19  0.07]; [ 0.54 -0.73]],DIRECTmessage b'ABNORMAL_TERMINATION_IN_LNSRCH',PESmin [-0.36],kindex 9,PIatX [0.31],host broman-Aspire-V5-591G
16, 0.19299204132043513, 0.0459873684687949, 0.0, [nan], 2.411176770769207, 1.0, 0.19279407140941074, 0.04447207309594219, 2.3667112331362534,31.927491000000003, 0.00041500000000382897, 0.11549300000001494, 14:31:43  11-06-20,0.0,AQvalue [0.38],HYPstats {'mean': array([0.28   0.02  0.03])  'std': array([0.06  0.02  0.02])  'min': array([0.19  0.00  0.00 ])  'max': array([0.50  0.09  0.07])},HYPdraws [array([0.25  0.00  0.07])  array([0.50  0.09  0.01])  array([0.19  0.00  0.01])  array([0.28  0.01   0.05])  array([0.29  0.01  0.05])  array([0.34  0.02  0.04])  array([0.23  0.01  0.03])  array([0.24  0.00  0.00 ])  array([0.33  0.05  0.03])  array([0.25  0.00  0.02])  array([0.24  0.02  0.00])  array([0.23  0.03  0.01])  array([0.31    0.00  0.03])  array([0.29  0.00  0.03])  array([0.31  0.04  0.05])  array([0.20  0.02  0.02])  array([0.40  0.04  0.02])  array([0.20  0.01  0.04])  array([0.25  0.00  0.07])  array([0.23   0.03  0.00])  array([0.27  0.00  0.06 ])  array([0.34  0.07  0.04])  array([0.26  0.00  0.01])  array([0.35  0.04  0.01])  array([0.24  0.02  0.05])  array([0.30  0.05  0.01])  array([0.27  0.02  0.03])  array([0.25  0.04  0.01])],mindraws [[-7.86e-01 -6.29e-01]; [ 2.66e-01 -9.37e-01]; [ 2.02e-01  5.11e-02]; [ 4.92e-01  2.98e-01]; [-5.86e-01 -3.39e-01]; [ 1.93e-01  4.53e-02]; [ 1.93e-01  4.53e-02]; [-5.02e-01 -1.16e-01]; [ 1.84e-01  5.34e-02]; [-5.39e-01 -4.16e-02]; [-8.62e-01  3.98e-01]; [ 2.16e-02  7.24e-01]; [ 1.89e-01  5.07e-02]; [ 3.49e-01  5.68e-01]; [-6.58e-01 -1.41e-01]; [ 2.74e-01 -3.33e-01]; [ 2.22e-02 -3.79e-01]; [ 6.00e-01 -4.41e-01]; [ 5.28e-01  7.33e-01]; [ 1.92e-01  5.20e-02]; [ 1.96e-01  4.38e-02]; [-9.59e-01 -4.33e-01]; [-6.53e-01 -9.90e-01]; [-8.08e-01  8.92e-01]; [-2.79e-01  3.38e-01]; [ 5.97e-01  4.68e-02]; [ 7.77e-01  8.64e-01]; [ 3.90e-01 -2.57e-01]; [-8.51e-01 -5.67e-01]; [-3.82e-01  5.65e-01]; [-1.63e-01 -4.68e-02]; [ 9.50e-01  6.85e-01]; [-8.08e-01  8.92e-01]; [ 1.93e-01 -2.42e-04]; [ 2.52e-01  2.31e-01]; [-4.92e-01 -9.30e-01]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.38],kindex 9,PIatX [0.33],host broman-Aspire-V5-591G
17, 0.19292455633466998, 0.033575980660258756, 0.0, [nan], 1.9909735933929202, 1.0, 0.19290420699746683, 0.03148434557169615, 1.907616145679399,31.817446000000018, 0.0004339999999842803, 0.11270899999999529, 14:32:10  11-06-20,0.0,AQvalue [0.39],HYPstats {'mean': array([0.36  0.02  0.02])  'std': array([0.08  0.02  0.01])  'min': array([0.24   0.00  0.00])  'max': array([0.55  0.07  0.04])},HYPdraws [array([0.28  0.02   0.02 ])  array([0.55  0.00  0.02 ])  array([0.33  0.07  0.02])  array([0.27  0.00   0.03])  array([0.35  0.01  0.02])  array([0.37   0.00  0.00])  array([0.47  0.06   0.02 ])  array([0.34  0.00  0.00])  array([0.24   0.01  0.01])  array([0.47  0.02  0.01])  array([0.38  0.03    0.02 ])  array([0.27  0.04  0.01])  array([0.25  0.01  0.01])  array([0.44   0.04  0.04])  array([0.30  0.01  0.02])  array([0.30  0.03  0.01])  array([0.35  0.00  0.04])  array([0.49  0.06  0.01  ])  array([0.38  0.01  0.04])  array([0.28  0.00  0.02])  array([0.29  0.00  0.01])  array([0.52  0.05  0.04])  array([0.37  0.03  0.02])  array([0.28  0.01  0.02])  array([0.46  0.05  0.03])  array([0.38  0.02  0.02])  array([0.28  0.01  0.02])  array([0.45  0.04   0.01])],mindraws [[ 0.19  0.05]; [ 0.19  0.03]; [ 0.19  0.04 ]; [-0.94  0.92]; [ 0.16  0.03]; [ 0.19  0.03]; [-0.30 -0.49]; [-0.08 -0.03]; [-0.24 -0.93]; [ 0.22  0.46]; [ 0.90  0.41]; [-0.11 -0.18 ]; [-0.64 -0.92]; [-0.34 -0.33]; [-0.61  0.82]; [ 0.19  0.03]; [-0.57 -0.73]; [ 0.92 -0.59]; [ 0.73  0.28]; [ 0.19  0.03 ]; [ 0.19  0.02]; [ 0.19  0.05]; [ 0.19  0.05]; [ 0.19   0.03]; [ 0.57  0.10]; [ 0.57  0.94]; [ 0.30 -0.23]; [ 0.62  0.02]; [-0.49 -0.86]; [ 0.19  0.04]; [-0.42 -0.44]; [ 0.53  0.23]; [-0.74  0.62]; [ 0.30  -0.36]; [ 0.28  0.90]; [ 0.65 -0.08]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.39],kindex 9,PIatX [0.32],host broman-Aspire-V5-591G
18, 0.19300532065321008, 0.017056472435670864, 0.0, [nan], 1.2469363343974564, 1.0, 0.19302746772289575, 0.012517381808834568, 1.0323737863850961,31.063091000000014, 0.0004229999999552092, 0.1138480000000186, 14:32:37  11-06-20,0.0,AQvalue [0.56],HYPstats {'mean': array([0.48  0.04  0.03])  'std': array([0.10  0.02  0.01])  'min': array([0.32  0.00  0.01])  'max': array([0.81  0.11   0.07])},HYPdraws [array([0.69  0.02  0.07])  array([0.57  0.08  0.04])  array([0.55  0.05  0.03])  array([0.44  0.02  0.02])  array([0.41  0.03  0.01])  array([0.49  0.06  0.01])  array([0.48  0.03   0.03])  array([0.62  0.05  0.04])  array([0.39  0.04  0.01])  array([0.32  0.02  0.02])  array([0.51  0.09  0.05])  array([0.54  0.08  0.05])  array([0.48  0.04  0.04])  array([0.81  0.11   0.03])  array([0.51  0.00  0.01])  array([0.38  0.01    0.04])  array([0.51  0.04  0.01])  array([0.47  0.00  0.02 ])  array([0.43  0.00  0.02 ])  array([0.41  0.00  0.02])  array([0.33  0.02  0.03])  array([0.54   0.02  0.04])  array([0.39  0.03  0.03])  array([0.45  0.06    0.02])  array([0.54  0.02  0.02])  array([0.35  0.03  0.02])  array([0.40  0.04  0.02])  array([0.49  0.07  0.04])],mindraws [[-0.30  0.80]; [-0.23  0.71]; [ 0.19  0.03]; [ 0.19  0.03]; [ 0.19  0.02]; [-0.39  0.23]; [ 0.19  0.00]; [-0.89  0.09]; [ 0.19  0.00]; [-0.68 -0.13]; [ 0.82  0.83]; [ 0.18  0.02]; [ 0.18  0.02]; [ 0.19  0.02]; [ 0.18  0.01]; [ 0.18  0.02]; [ 0.18  0.02]; [ 0.24 -0.89 ]; [-0.14 -0.71]; [-0.49  0.91]; [-0.16 -0.23]; [ 0.19  0.01]; [ 0.19  0.00]; [ 0.05 -0.06]; [-0.68 -0.64]; [ 0.87 -0.39]; [ 0.19  0.01 ]; [ 0.19  0.00]; [ 0.94 -0.08]; [ 0.19  0.03]; [ 0.18  0.03  ]; [ 0.18  0.02]; [ 0.19  0.03]; [-0.72  0.71]; [ 0.18  0.80]; [-0.82 -0.42]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.56],kindex 9,PIatX [0.45],host broman-Aspire-V5-591G
19, 0.1931343140068284, -0.01685909997130405, 0.0, [nan], 1.2368831428566054, 1.0, 0.19307584707838585, 0.001610014434890988, 0.7014034122704859,30.943283000000008, 0.00048500000002604793, 0.11266799999998511, 14:33:03  11-06-20,0.0,AQvalue [0.46],HYPstats {'mean': array([0.81  0.07  0.04])  'std': array([0.21  0.03  0.01])  'min': array([0.54  0.00  0.01])  'max': array([1.47  0.15  0.08])},HYPdraws [array([0.86   0.10   0.03])  array([0.55  0.06  0.01])  array([0.78   0.06  0.04 ])  array([0.64  0.06  0.03])  array([0.86  0.12   0.04])  array([0.86  0.06  0.06])  array([0.71  0.07   0.06])  array([0.72  0.10  0.02])  array([1.47  0.14  0.07])  array([0.90  0.05  0.04])  array([0.78  0.03  0.03])  array([0.62  0.02  0.05])  array([0.65  0.00  0.04])  array([0.78  0.06  0.05])  array([1.03  0.11  0.07])  array([0.71  0.05  0.06 ])  array([0.61  0.02  0.03])  array([0.91  0.12   0.06])  array([0.79  0.05  0.03 ])  array([1.08  0.06  0.04])  array([0.80  0.04  0.06])  array([0.75  0.07   0.05])  array([0.54  0.08  0.04])  array([0.67  0.15  0.05 ])  array([1.41  0.12  0.08])  array([0.67  0.07  0.02])  array([0.71  0.08  0.04])  array([0.73  0.06  0.03])],mindraws [[ 0.18  0.00]; [-0.44  0.68]; [-0.91  0.96]; [-0.79  0.52 ]; [ 0.34 -0.07]; [ 0.54 -0.16]; [-0.40  0.39]; [ 0.14  -0.07]; [ 0.19 -0.02]; [ 0.14  -0.07]; [ 0.19 -0.00 ]; [ 0.42   0.63]; [ 0.19 -0.01 ]; [ 0.19 -0.01]; [-0.02  0.87]; [ 0.19 -0.04]; [-0.80  0.33]; [ 0.82  0.25]; [-0.76 -0.31  ]; [-0.47 -0.20]; [ 0.41    0.70]; [ 0.65  0.33]; [-0.21  0.69]; [-0.49  0.14]; [ 0.18 -0.01]; [ 0.20 -0.01]; [ 0.12 -0.29]; [ 0.35 -0.86]; [ 0.19 -0.00]; [ 0.69   0.87]; [ 0.49  0.56]; [ 0.20 -0.00]; [ 0.19 -0.03]; [ 0.42   0.63]; [ 0.66 -0.02 ]; [-0.22  0.08]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.46],kindex 9,PIatX [0.47],host broman-Aspire-V5-591G
20, 0.19994382154326615, 0.000693890930496797, 0.0, [nan], 0.7706981937838616, 1.0, 0.1998796648834139, 0.0003844833736994655, 0.7681732649217791,30.922414000000003, 0.00044000000002597517, 0.11234000000001743, 14:33:30  11-06-20,0.0,AQvalue [0.43],HYPstats {'mean': array([0.81  0.06  0.04])  'std': array([0.19  0.03  0.01])  'min': array([0.52  0.00  0.02])  'max': array([1.34  0.16  0.07])},HYPdraws [array([0.73  0.05  0.04 ])  array([0.92  0.06  0.04])  array([0.63  0.02  0.02])  array([1.34  0.11  0.07])  array([0.68  0.00  0.03])  array([0.83  0.00  0.03])  array([0.83    0.00  0.04])  array([0.65  0.06  0.05])  array([0.90  0.06  0.05])  array([1.06  0.04  0.05])  array([0.90  0.08  0.05])  array([0.75  0.02  0.05])  array([0.90  0.16  0.03])  array([0.72  0.05  0.04 ])  array([0.54  0.03  0.03 ])  array([0.71  0.10  0.05])  array([0.52  0.08  0.05])  array([0.53  0.05  0.03])  array([0.86  0.10  0.04])  array([0.73  0.05  0.04])  array([0.84  0.11  0.05])  array([1.09  0.02  0.07])  array([0.91  0.03  0.05])  array([1.13  0.07  0.05])  array([0.93  0.09  0.06 ])  array([0.93  0.06  0.04 ])  array([0.61  0.02  0.05])  array([0.58  0.07  0.04 ])],mindraws [[ 2.42e-01  2.14e-01]; [ 1.86e-01  1.00e-03]; [ 2.79e-01  4.06e-01]; [-8.39e-01 -9.14e-01]; [ 2.02e-01 -6.43e-04]; [ 2.01e-01  1.08e-03]; [ 1.55e-01  4.99e-03]; [ 2.29e-01  1.06e-02]; [ 1.97e-01  1.66e-04]; [ 7.94e-01  1.42e-01]; [ 1.83e-01  9.19e-04]; [ 3.11e-01  9.99e-01]; [ 1.84e-01  3.01e-03]; [ 7.94e-01  1.42e-01]; [-3.98e-01 -5.00e-01]; [-2.58e-01 -2.81e-02]; [-8.47e-01  3.17e-01]; [ 1.95e-01 -3.62e-03]; [-7.63e-01 -8.44e-01]; [ 2.29e-01  1.06e-02]; [-7.43e-01  5.91e-01]; [ 1.85e-01 -1.49e-03]; [ 1.85e-01 -7.85e-04]; [ 7.62e-01 -6.84e-01]; [-3.34e-01 -8.24e-01]; [-8.77e-01  5.18e-01]; [ 1.91e-01  4.09e-01]; [-3.40e-01  4.98e-01]; [-4.92e-01  3.79e-01]; [ 1.94e-01  2.20e-03]; [ 1.99e-01  3.42e-03]; [ 1.92e-01 -1.91e-03]; [ 3.59e-01 -2.54e-01]; [-6.02e-01 -1.99e-01]; [-6.72e-01 -1.93e-01]; [ 1.96e-01  7.28e-04]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.43],kindex 9,PIatX [0.55],host broman-Aspire-V5-591G
