n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime, condition, aqauxdata
1, -0.204461763563083, -0.5428993246644935, 0.0, [nan], 2.912376327021227, 1.0, -0.204461763563083, -0.5428993246644935, 2.912376327021227,0.0002579999999996474, 0.0003530000000000477, 5.100000000002325e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
2, 0.39857115672941834, 0.5801398241063669, 0.0, [nan], 2.673151429229284, 1.0, 0.39857115672941834, 0.5801398241063669, 2.673151429229284,0.0001500000000000945, 0.00021300000000001873, 4.500000000007276e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
3, 0.46051750465182306, 0.8367666753125269, 0.0, [nan], 3.976290949628001, 1.0, 0.39857115672941834, 0.5801398241063669, 2.673151429229284,0.000128000000000128, 0.00020799999999976393, 4.399999999993298e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
4, 0.9365230361364356, -0.3840201123643474, 0.0, [nan], 3.5636841215756245, 1.0, 0.39857115672941834, 0.5801398241063669, 2.673151429229284,0.00012500000000015277, 0.00018899999999977268, 4.399999999993298e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
5, 0.2693736149931123, -0.8117242394813715, 0.0, [nan], 3.7343864254163526, 1.0, 0.39857115672941834, 0.5801398241063669, 2.673151429229284,0.0001229999999998732, 0.00018699999999993722, 4.300000000023729e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
6, 0.813764833051434, 0.694792175198564, 0.0, [nan], 4.013891009105511, 1.0, 0.39857115672941834, 0.5801398241063669, 2.673151429229284,0.00012200000000017752, 0.00018599999999979744, 4.300000000023729e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
7, -0.21360185933362308, -0.18983451210138047, 0.0, [nan], 1.6048554470950425, 1.0, -0.21360185933362308, -0.18983451210138047, 1.6048554470950425,0.00012100000000003774, 0.000188000000000077, 4.2999999999793204e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
8, -0.06558890578527055, -0.8690528193523352, 0.0, [nan], 4.017238583909781, 1.0, -0.21360185933362308, -0.18983451210138047, 1.6048554470950425,0.0001229999999998732, 0.00019700000000000273, 4.399999999993298e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
9, -0.42169016127254544, 0.8393989263585966, 0.0, [nan], 3.729956979824242, 1.0, -0.21360185933362308, -0.18983451210138047, 1.6048554470950425,0.0001229999999998732, 0.00018399999999996197, 4.300000000023729e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
10, -0.9729252307908383, 0.68561958219278, 0.0, [nan], 4.063610105756767, 1.0, -0.21360185933362308, -0.18983451210138047, 1.6048554470950425,0.00012099999999959365, 0.00018600000000024153, 4.399999999993298e-05, 14:31:37  13-06-20,0.0,host broman-Aspire-V5-591G
11, -0.21749878755697527, -0.19007776066018844, 0.0, [nan], 1.7525712915056295, 1.0, 0.048561494454349007, -0.15212321610529989, 2.984600934580732,33.759768, 0.00037700000000029377, 0.10734999999999673, 14:32:06  13-06-20,0.0,AQvalue [0.33],HYPstats {'mean': array([0.80  0.24  0.09])  'std': array([0.21  0.80  0.33 ])  'min': array([0.55  0.00  0.00])  'max': array([1.54  4.14  1.84])},HYPdraws [array([0.81  0.02  0.05])  array([0.66  0.07  0.04])  array([1.18  0.00  0.00])  array([1.54  0.01  1.84])  array([0.71  0.01  0.06])  array([0.72  0.00  0.00])  array([0.78  0.41   0.14])  array([0.82  0.01  0.05 ])  array([0.57   0.00  0.00])  array([0.74  0.00  0.00])  array([0.55  0.00  0.00 ])  array([0.97  0.00  0.04])  array([0.65  0.00  0.00])  array([0.93  0.00  0.04])  array([0.72  1.50  0.04])  array([0.75  0.01  0.00])  array([0.86  0.20  0.01])  array([0.60  0.01  0.00])  array([0.74  0.18  0.01])  array([0.91  0.01  0.02 ])  array([0.85  0.22  0.00])  array([0.93  4.14  0.07])  array([0.62  0.00  0.00])  array([1.17  0.01  0.02])  array([0.64  0.00  0.00])  array([0.73  0.00  0.02])  array([0.56  0.01  0.00])  array([0.73  0.00  0.00])],mindraws [[ 0.69 -0.81]; [-0.21 -0.54]; [-0.77 -0.21]; [-0.06 -0.91 ]; [-1.         -0.09]; [-0.20 -0.55]; [-0.83 -0.00]; [-1.          0.74]; [-0.21 -0.18]; [-0.21 -0.19]; [ 1.          0.19]; [-0.19 -0.68]; [-0.21 -0.19]; [-1.         -0.65]; [-0.30  0.22]; [-1.         -0.16  ]; [-0.21 -0.18 ]; [-0.87 -1.        ]; [-0.33  0.07]; [ 1.          0.05]; [-0.22 -0.17]; [-1.         -0.25]; [ 0.57 -0.82]; [ 1.         -0.18]; [ 0.08  0.33]; [-0.21  -0.18]; [ 0.69  0.76 ]; [ 1.         -0.60]; [-1.         -0.13]; [-0.21 -0.19]; [ 0.04 -0.71]; [ 0.87 -0.72]; [ 0.22  0.45]; [ 0.39   0.58]; [-0.21 -0.18]; [-0.21 -0.18]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.33],kindex 9,PIatX [0.26],host broman-Aspire-V5-591G
12, -0.20658019335143277, -0.18961286594656854, 0.0, [nan], 1.355480455902387, 1.0, -0.2066841432161599, -0.18953801701538028, 1.3597797208721727,31.457465999999997, 0.00044300000000419004, 0.1067210000000074, 14:32:32  13-06-20,0.0,AQvalue [0.35],HYPstats {'mean': array([0.83  0.02    0.06])  'std': array([0.21  0.01   0.13 ])  'min': array([0.53  0.00  0.00])  'max': array([1.44  0.06  0.69])},HYPdraws [array([0.65  0.03  0.00])  array([1.44  0.01  0.26])  array([1.14  0.00  0.01])  array([0.83  0.02  0.01 ])  array([0.56  0.00  0.03])  array([0.94  0.03  0.01])  array([0.87  0.00  0.00])  array([0.94  0.02  0.04])  array([1.08   0.04  0.00])  array([0.66  0.01    0.00])  array([0.87  0.05  0.00])  array([0.86  0.01  0.03])  array([0.81  0.00  0.69])  array([1.20  0.02  0.00])  array([0.53  0.03  0.01])  array([0.71   0.01  0.05])  array([0.86  0.02  0.00])  array([0.65  0.00  0.05])  array([0.58  0.00  0.24])  array([0.79  0.00  0.02])  array([0.54  0.00   0.00 ])  array([0.63  0.00  0.01])  array([1.06  0.00  0.00 ])  array([0.94  0.00  0.08 ])  array([0.70  0.02  0.00])  array([0.71  0.02  0.00])  array([0.77  0.01  0.00])  array([0.80  0.06  0.02])],mindraws [[-0.21 -0.18]; [-0.21    -0.19]; [-0.20 -0.19]; [-0.21 -0.18]; [-0.42  0.95]; [ 0.89 -0.32]; [-0.20  -0.19]; [-0.21 -0.52 ]; [ 0.09  0.16]; [-0.21  -0.54]; [ 0.38  0.57]; [-0.94  0.55]; [-0.98   0.25 ]; [-0.21    -0.19]; [ 0.12 -0.18]; [-0.78  0.60]; [-0.21 -0.55]; [-0.08 -0.87]; [-0.94 -0.85]; [-0.20 -0.19]; [-0.17 -0.54]; [-0.20 -0.18]; [ 0.00  0.36]; [ 0.48  0.47 ]; [-0.20 -0.18]; [-0.75  0.47 ]; [-0.87   0.19]; [ 0.06  0.29]; [-0.21 -0.18]; [ 0.95  -0.98]; [-0.60 -0.36]; [-0.20 -0.19]; [-0.17 -0.52  ]; [ 0.16 -0.13]; [-0.21  -0.18]; [ 0.40  0.57]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.35],kindex 9,PIatX [0.28],host broman-Aspire-V5-591G
13, -0.1799313623847701, -0.18931281704942432, 0.0, [nan], 1.428707250379553, 1.0, -0.19702345440133515, -0.18946787786890565, 1.147410902303512,30.515472000000003, 0.0004360000000076525, 0.10402799999999957, 14:32:58  13-06-20,0.0,AQvalue [0.40],HYPstats {'mean': array([0.83   0.03  0.04])  'std': array([0.16   0.01  0.04])  'min': array([0.52  0.00  0.00])  'max': array([1.24  0.08  0.16])},HYPdraws [array([1.06  0.06  0.01])  array([1.09  0.03  0.10 ])  array([0.73  0.03  0.16])  array([0.91  0.05  0.13])  array([0.52  0.03  0.00 ])  array([0.81  0.01  0.06])  array([0.75  0.03  0.05])  array([0.85  0.05  0.15])  array([0.83  0.03  0.09])  array([1.24  0.05  0.00])  array([0.94  0.02   0.02])  array([0.57   0.01  0.12 ])  array([0.58  0.03  0.00])  array([0.80  0.01  0.04])  array([0.69  0.02  0.04])  array([0.67  0.03  0.00])  array([0.80  0.03  0.00])  array([0.86  0.05  0.01])  array([0.68  0.05  0.01])  array([1.02  0.08  0.00])  array([0.88   0.02  0.07])  array([0.62  0.01  0.01])  array([1.03  0.05  0.02])  array([0.99  0.02  0.03])  array([0.74  0.02  0.00])  array([0.89  0.01  0.05])  array([0.72  0.00  0.00])  array([0.93  0.04  0.00])],mindraws [[ 0.81 -0.00]; [-0.09  0.14]; [-0.25 -0.50]; [-0.10 -0.57]; [-0.19 -0.19]; [-0.18 -0.18 ]; [-0.17 -0.18]; [-0.28  0.64]; [-0.19 -0.19]; [ 0.03  0.05]; [ 0.39   0.11]; [-0.87   0.59]; [-0.18 -0.18]; [-0.44 -0.35]; [-0.22 -0.52]; [-0.47 -0.33 ]; [ 0.19 -0.54]; [ 0.42   0.56]; [ 0.31 -0.73]; [ 0.59   0.20]; [ 0.53  0.14]; [-0.19   -0.18]; [ 0.44  0.59]; [ 0.44  0.59]; [-0.97 -0.72]; [-0.20 -0.17]; [-0.31 -0.56]; [-0.21 -0.19]; [ 0.78 -0.52]; [ 0.93 -0.67]; [-0.18 -0.19]; [-0.17 -0.18]; [ 0.12 -0.18 ]; [-0.17 -0.18]; [-0.17 -0.18]; [-0.61  0.73]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.40],kindex 9,PIatX [0.32],host broman-Aspire-V5-591G
14, -0.19386085351301494, -0.19407469740326855, 0.0, [nan], 1.095736396581449, 1.0, -0.19384724521706406, -0.19354892968343534, 1.096700957481318,30.52069399999999, 0.0004089999999905558, 0.10705900000002089, 14:33:24  13-06-20,0.0,AQvalue [0.31],HYPstats {'mean': array([0.87  0.03  0.04])  'std': array([0.14  0.01  0.09])  'min': array([0.62   0.00  0.00])  'max': array([1.29  0.05  0.50])},HYPdraws [array([1.00  0.04  0.04])  array([0.78  0.03  0.00 ])  array([0.95  0.03  0.00])  array([0.84  0.03  0.02])  array([0.95   0.03  0.10])  array([0.88  0.04  0.00])  array([0.83  0.02  0.03])  array([0.84  0.04  0.00])  array([0.99  0.00  0.08 ])  array([0.79  0.03  0.00])  array([0.71  0.03  0.00])  array([0.89  0.05  0.09 ])  array([0.84  0.05   0.00])  array([0.68  0.03  0.50])  array([1.29  0.05  0.00 ])  array([1.04  0.03  0.02])  array([0.99  0.04  0.05  ])  array([0.94  0.04  0.01])  array([0.94  0.05  0.01])  array([0.68  0.01  0.01])  array([0.70  0.04  0.01])  array([0.97  0.05  0.08])  array([1.00  0.03   0.11])  array([0.66  0.03   0.00])  array([0.87  0.04  0.00])  array([0.85  0.04  0.00])  array([0.95  0.02  0.00])  array([0.62   0.03  0.01 ])],mindraws [[-0.42  0.09]; [-0.20   -0.18]; [ 0.24  0.11]; [ 0.55 -0.65 ]; [ 0.47  0.57]; [-0.35 -0.49]; [-0.89  0.39]; [ 0.54 -0.40]; [ 0.21  0.91]; [ 0.06  0.98]; [-0.66 -0.27]; [ 0.36  0.56]; [ 0.62 -0.25]; [ 0.08 -0.62]; [ 0.89  0.10]; [ 0.57 -0.48 ]; [ 0.35  0.59]; [-0.61  0.88]; [ 0.18  0.70]; [-0.32 -0.86]; [-0.32 -0.46]; [-0.54  0.58]; [ 0.35  0.57]; [-0.54 -0.76]; [-0.59 -0.31]; [-0.72  0.68]; [ 0.58  0.76]; [-0.76  0.50 ]; [-0.19 -0.19]; [-0.19 -0.19]; [-0.96   0.51]; [ 0.15  0.82]; [ 0.08 -0.80]; [-0.94 -0.97]; [-0.19 -0.19]; [ 0.55 -0.55]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.31],kindex 9,PIatX [0.30],host broman-Aspire-V5-591G
15, -0.19429262106229608, -0.20847430643350748, 0.0, [nan], 1.3906271603309222, 1.0, -0.1935511916673003, -0.19365460837421145, 1.0970805215636876,31.044544000000002, 0.00038499999999430656, 0.11884899999998311, 14:33:50  13-06-20,0.0,AQvalue [0.29],HYPstats {'mean': array([0.97  0.04  0.05])  'std': array([0.25  0.01   0.06])  'min': array([0.61  0.01  0.00])  'max': array([1.46  0.06  0.26])},HYPdraws [array([0.68  0.03   0.03])  array([1.43  0.05  0.04])  array([1.35  0.05  0.09 ])  array([0.83  0.05  0.06])  array([0.70  0.03  0.07])  array([1.46  0.03  0.01])  array([0.61  0.02  0.20 ])  array([1.20  0.05  0.00])  array([1.26  0.06  0.02])  array([0.89  0.04  0.01])  array([0.74  0.01  0.13])  array([0.87  0.01  0.03])  array([0.97  0.05   0.04])  array([0.71  0.04   0.03])  array([1.23  0.03  0.01])  array([1.15  0.06  0.11])  array([0.82  0.04  0.08])  array([1.22  0.04   0.02])  array([0.76  0.03  0.00])  array([0.74   0.03   0.02])  array([0.84  0.04  0.05])  array([0.70  0.03  0.26])  array([0.92  0.05  0.00 ])  array([1.02  0.04  0.01])  array([1.33  0.06  0.00])  array([1.08  0.05  0.01])  array([0.69  0.03  0.21])  array([0.86  0.04  0.00])],mindraws [[ 0.48  0.69]; [-0.07  -0.26]; [ 0.25  0.59 ]; [ 0.23  0.56]; [-0.19 -0.18]; [-0.58 -0.29]; [-0.47  -0.78]; [ 0.85  0.08 ]; [ 0.87  0.58]; [ 0.85 -0.21]; [-0.14 -0.82]; [ 0.66  0.77  ]; [ 0.63  0.52]; [-0.97  0.03 ]; [-0.19 -0.20]; [-0.18 -0.20]; [-0.17  0.57 ]; [-0.29  0.69]; [ 0.54  0.55]; [-0.18 -0.20]; [ 0.08 -0.49]; [ 0.61  0.30]; [ 0.35  0.50]; [-0.31  0.92]; [ 0.78   0.54]; [ 0.31  0.19]; [-0.99 -0.93]; [-0.83 -0.83]; [-0.20  0.63]; [ 0.58  0.62]; [ 0.35  0.57]; [ 0.33  0.62 ]; [ 0.86 -0.27]; [ 0.25  0.59 ]; [-0.86 -0.93]; [ 0.52  0.54]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.29],kindex 9,PIatX [0.28],host broman-Aspire-V5-591G
16, -0.3165120952536565, 0.4348907220520018, 0.0, [nan], 3.53770656511221, 1.0, -0.1941731717966467, -0.1938258932253754, 1.0957254623931472,28.88663600000001, 0.00040500000000065484, 0.1054889999999773, 14:34:14  13-06-20,0.0,AQvalue [0.13],HYPstats {'mean': array([1.02  0.04  0.03])  'std': array([0.21  0.01  0.01 ])  'min': array([0.70  0.01  0.00])  'max': array([1.58  0.06  0.07])},HYPdraws [array([1.02  0.01  0.02])  array([0.91  0.06  0.02])  array([1.00  0.04   0.01])  array([1.14  0.04  0.04])  array([0.93  0.04  0.03])  array([1.11   0.02   0.06])  array([1.07   0.05  0.04])  array([0.93  0.06  0.03])  array([1.30  0.04  0.04])  array([1.55  0.06  0.07])  array([1.58  0.02  0.04])  array([1.33  0.03  0.00])  array([0.87  0.03  0.02])  array([1.25  0.03  0.01])  array([0.91  0.03  0.03])  array([0.94  0.04  0.02])  array([1.14  0.04  0.05])  array([0.91  0.04   0.02])  array([0.91  0.03  0.02])  array([0.97  0.04  0.06])  array([0.70  0.02  0.02])  array([0.80  0.04  0.03 ])  array([0.87  0.05  0.03])  array([0.92  0.04  0.03])  array([0.78  0.02  0.02])  array([0.81  0.04   0.04])  array([0.92  0.05  0.01])  array([0.91  0.03  0.04])],mindraws [[-0.32  0.43]; [ 0.08  0.86]; [-0.07  0.36]; [-0.52 -0.40]; [ 0.15  0.53]; [ 0.79  0.53]; [ 0.09  0.59]; [-0.25  0.70]; [ 0.07    0.47 ]; [ 0.99  0.76]; [ 0.43  0.56]; [ 0.80  0.41]; [ 1.          0.64]; [ 0.28 -0.99]; [ 0.83  0.62]; [ 0.67  0.03]; [ 0.74  0.20]; [ 1.          0.74]; [-0.67 -0.51]; [ 0.64  0.05]; [-0.32  0.43]; [ 0.69   0.40  ]; [-0.29   0.31 ]; [-0.98 -0.43]; [-0.09 -0.94]; [ 0.09  0.03]; [ 0.63  1.        ]; [ 0.51  0.89]; [-0.09  0.00]; [ 0.32  0.69]; [-0.21 -0.03]; [ 0.65  0.63]; [-0.23  0.26]; [ 0.84  -0.17]; [-0.94 -0.87]; [ 0.81 -0.51]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.13],kindex 9,PIatX [0.05],host broman-Aspire-V5-591G
17, 0.21287102067934674, 0.2130602792333355, 0.0, [nan], 1.874461589607937, 1.0, 0.2128731912038552, 0.2130603091358643, 1.8745235074159938,29.21722200000002, 0.0003879999999867323, 0.10569800000001806, 14:34:38  13-06-20,0.0,AQvalue [0.12],HYPstats {'mean': array([1.03  0.04  0.04])  'std': array([0.25   0.01  0.03])  'min': array([0.69  0.02  0.00])  'max': array([1.68  0.08  0.18])},HYPdraws [array([0.92  0.06  0.01])  array([1.18  0.04  0.02])  array([0.90   0.03  0.00])  array([1.32  0.06  0.07])  array([1.68  0.08  0.00 ])  array([0.79  0.02  0.07])  array([1.56  0.05  0.09])  array([0.78  0.04  0.01])  array([0.69  0.03  0.04 ])  array([0.88  0.06  0.02   ])  array([0.75  0.03  0.02])  array([1.06  0.03   0.18])  array([1.00  0.04  0.04])  array([0.95   0.02  0.08])  array([0.77  0.03   0.01])  array([0.98  0.02  0.10])  array([1.56  0.06  0.06])  array([0.81  0.05  0.04 ])  array([0.93  0.04  0.00])  array([0.87   0.04  0.06])  array([1.04  0.05  0.01 ])  array([1.04  0.03  0.03])  array([1.11  0.06  0.04])  array([1.32  0.05  0.08])  array([1.00  0.05  0.01 ])  array([0.89  0.04  0.03])  array([1.16  0.03  0.05])  array([0.95  0.06  0.02])],mindraws [[ 0.73  0.45]; [-0.67 -0.37]; [ 0.55 -0.96]; [ 0.53  0.41]; [ 0.60 -0.58]; [ 0.21  0.21]; [ 0.68 -0.50]; [ 0.59  0.65 ]; [ 0.21  0.21]; [ 0.15 -0.44]; [ 0.53  0.41]; [-0.67  0.53]; [ 0.37  0.54]; [ 0.33 -0.99]; [ 0.31    0.72]; [ 0.01  0.43]; [ 0.59  0.48]; [ 0.97  0.24]; [ 0.42  0.73]; [-0.74 -0.04 ]; [ 0.37  0.74]; [-0.34  0.32 ]; [-0.95 -0.53]; [ 0.33 -0.99]; [ 0.92  0.68]; [-0.75  0.97]; [ 0.75 -0.81]; [-0.85    -0.48]; [-0.02  0.50]; [-0.26 -0.94]; [-0.65 -0.07]; [ 0.88 -0.53]; [-0.05 -0.53]; [ 0.56  0.59]; [ 0.39  0.45]; [-0.48  0.54]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.12],kindex 9,PIatX [0.05],host broman-Aspire-V5-591G
18, -0.19398774984074393, -0.14820775785806367, 0.0, [nan], 2.4863428670885757, 1.0, 0.21287123220581083, 0.21306030821703617, 1.8744683637466804,29.202323999999976, 0.0003350000000068576, 0.10473500000000513, 14:35:03  13-06-20,0.0,AQvalue [0.15],HYPstats {'mean': array([0.99  0.04  0.04 ])  'std': array([0.19  0.01  0.03])  'min': array([0.65  0.01  0.01])  'max': array([1.51  0.07  0.17])},HYPdraws [array([0.85  0.02  0.01])  array([1.04  0.04   0.09 ])  array([1.08  0.03  0.07 ])  array([1.33  0.07  0.05])  array([0.71  0.04  0.01])  array([0.74  0.02  0.01])  array([0.85  0.02  0.03])  array([0.92  0.06  0.03])  array([0.65  0.02  0.01])  array([1.09  0.05  0.02])  array([0.87  0.03  0.02])  array([1.22  0.04  0.04])  array([0.86   0.04  0.02])  array([1.14   0.04  0.04])  array([0.80  0.05  0.01])  array([1.20  0.04  0.03])  array([1.06  0.04  0.07])  array([0.90  0.03   0.17])  array([0.91  0.05  0.02])  array([1.51  0.01  0.04])  array([0.90  0.05  0.02])  array([1.28  0.04  0.06])  array([1.03  0.03  0.04 ])  array([1.01   0.04  0.02])  array([1.06  0.06   0.02])  array([0.85  0.02  0.11])  array([0.99  0.05  0.04])  array([0.90  0.03  0.02])],mindraws [[-0.39 -0.95 ]; [-0.42 -0.02]; [-0.82 -0.44]; [ 0.65  0.80]; [-0.57  0.75]; [ 0.23  0.16]; [-0.82  -0.98 ]; [ 0.44  0.74]; [ 0.70  0.86]; [ 0.42  0.23]; [ 0.49 -0.89]; [ 0.11  0.26]; [ 0.10  0.59]; [ 0.80  0.32]; [ 0.55 -0.64]; [-0.55  0.85]; [-0.89  0.27]; [-0.36 -0.22]; [ 0.37 -0.51]; [ 0.35 -0.83]; [ 0.33  0.08]; [ 0.75 -0.02]; [ 0.24  0.25]; [-0.96 -0.23 ]; [ 1.          0.40]; [-0.86  0.39]; [ 0.40  0.71]; [ 0.81 -0.68]; [ 0.65  0.22]; [-0.82  0.94 ]; [ 0.82  0.24]; [ 0.82  0.04]; [ 0.20    0.29]; [ 0.65 -0.49]; [ 0.19 -0.23]; [ 0.67  0.46]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.15],kindex 9,PIatX [0.15],host broman-Aspire-V5-591G
19, 0.06961749881982555, 0.5154676015394872, 0.0, [nan], 3.7063744682546274, 1.0, 0.2128722554408553, 0.21306012353883838, 1.874491910016203,28.908289000000025, 0.00033600000000433283, 0.10932699999995066, 14:35:27  13-06-20,0.0,AQvalue [0.09],HYPstats {'mean': array([0.93  0.03  0.03])  'std': array([0.17  0.00  0.01])  'min': array([0.62  0.01  0.00])  'max': array([1.43  0.06  0.07])},HYPdraws [array([0.76  0.04  0.03])  array([1.08  0.04  0.00])  array([0.62  0.03   0.04])  array([0.87  0.02  0.05])  array([0.80  0.03  0.03])  array([0.95  0.03  0.03])  array([0.71  0.03  0.03])  array([1.23  0.04  0.07])  array([1.04  0.03  0.03])  array([0.82  0.03  0.02 ])  array([0.87  0.04  0.01])  array([1.00  0.03  0.02])  array([1.11  0.04  0.05])  array([0.88  0.02  0.02])  array([1.22  0.04   0.01])  array([0.75  0.02   0.01])  array([0.73   0.01  0.01])  array([0.98  0.03  0.03])  array([1.43  0.06  0.04])  array([1.09  0.04  0.03])  array([0.81  0.03  0.02])  array([1.03   0.04  0.02])  array([0.97  0.04  0.03])  array([0.85   0.04  0.02])  array([1.03  0.04  0.03])  array([0.79  0.03  0.02])  array([1.00  0.04  0.05])  array([0.75  0.03  0.03])],mindraws [[ 0.05  0.74]; [ 0.41 -0.98]; [-0.03  -0.22 ]; [-0.32 -0.08]; [ 1.          0.90]; [-0.05 -0.70]; [ 0.06   0.51]; [ 0.09  0.33]; [-0.75  0.98]; [ 0.56  0.49]; [ 0.63  0.47]; [-0.37 -0.49]; [-0.18  0.79]; [ 0.49 -0.12]; [-0.56  -0.23]; [ 0.69 -0.63]; [-0.40  0.03]; [ 0.77 -0.28]; [ 0.72  0.60]; [ 0.80  0.44]; [ 0.98 -0.56]; [ 0.16  0.24 ]; [-0.15  0.40]; [ 0.97  0.19]; [-0.18   1.        ]; [ 0.16  0.28]; [ 0.44  0.24]; [ 0.18  0.25]; [ 0.40  0.79]; [ 0.16  1.        ]; [ 0.44  0.57]; [-0.58 -0.96 ]; [ 0.87  1.        ]; [ 0.46  0.52]; [ 0.33  0.29]; [ 0.88  0.13]],DIRECTmessage b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',PESmin [-0.09],kindex 9,PIatX [0.04],host broman-Aspire-V5-591G
20, -0.31037827724844935, -0.8801400668791772, 0.0, [nan], 4.131906700379685, 1.0, 0.21287136508248916, 0.21306023589061215, 1.874470048928889,30.28368800000004, 0.00043299999998680505, 0.1114149999999654, 14:35:53  13-06-20,0.0,AQvalue [0.10],HYPstats {'mean': array([0.92  0.04   0.03])  'std': array([0.11  0.01  0.01])  'min': array([0.71  0.02  0.01])  'max': array([1.13  0.06   0.05])},HYPdraws [array([0.75  0.02  0.02])  array([0.71  0.04  0.04])  array([0.92  0.04  0.02])  array([1.06  0.06   0.01])  array([1.00  0.03  0.01])  array([1.11  0.05  0.01])  array([0.79  0.03  0.02])  array([0.87  0.03  0.02])  array([0.88  0.02  0.03])  array([1.09  0.05  0.04])  array([0.96  0.02  0.02])  array([0.94  0.05  0.03])  array([0.76  0.02  0.05])  array([0.85  0.03  0.02 ])  array([0.94  0.04  0.03  ])  array([0.90   0.03  0.03])  array([0.78  0.04   0.02])  array([0.78  0.03  0.03])  array([1.13  0.04  0.03])  array([0.89  0.05  0.03])  array([0.92  0.03  0.03])  array([1.03  0.03  0.01])  array([0.98  0.04  0.05])  array([1.11  0.05  0.03])  array([0.90  0.05  0.04])  array([0.93  0.03  0.04])  array([0.87  0.05  0.03])  array([0.90   0.06  0.03])],mindraws [[ 0.42   0.43]; [ 0.78  0.47]; [ 0.59  0.54]; [ 0.48  0.71]; [-0.69  0.04]; [ 0.53   0.31]; [-0.43 -0.42]; [-0.17   0.78]; [ 0.51  0.47]; [ 0.69  0.48 ]; [-0.95  0.62]; [ 0.21  0.18]; [ 0.04  0.81]; [ 0.22  0.57]; [-0.30 -0.87]; [ 0.05  0.34]; [ 0.41 -0.19]; [ 0.24  0.16]; [ 0.40  0.63]; [ 0.06  0.69]; [-0.82 -0.62]; [-0.30 -0.87]; [ 0.45  0.63]; [ 0.21  0.29]; [ 0.52 -0.32]; [ 0.53  0.61]; [ 0.78  0.95]; [-0.10 -0.80]; [ 0.38  0.38]; [ 0.41 -0.19]; [ 0.08 -0.75]; [-0.25  0.21]; [ 0.24  0.76]; [-0.29  -0.31]; [ 0.75  0.48]; [-0.07  0.83 ]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.10],kindex 9,PIatX [0.03],host broman-Aspire-V5-591G
