n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime, condition, aqauxdata
1, -0.8051867365045264, 0.6416605208831296, 0.0, [nan], 1474.0448879106293, 1.0, -0.8051867365045264, 0.6416605208831296, 1474.0448879106293,0.00034599999999995745, 0.000400000000000178, 6.69999999998172e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
2, 0.7191199782623401, 0.030954841770170827, 0.0, [nan], 808.618649435548, 1.0, 0.7191199782623401, 0.030954841770170827, 808.618649435548,0.00024399999999991095, 0.0003049999999999997, 9.100000000006325e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
3, -0.4957742327034884, 0.012435229505053602, 0.0, [nan], 825.1745314812171, 1.0, 0.7191199782623401, 0.030954841770170827, 808.618649435548,0.00020599999999992846, 0.0002489999999999437, 4.100000000017978e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
4, -0.6197758538916838, -0.9355170287589472, 0.0, [nan], 710.5646163754357, 1.0, -0.6197758538916838, -0.9355170287589472, 710.5646163754357,0.00016299999999991321, 0.00015300000000006975, 5.3999999999998494e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
5, -0.4627070227347778, -0.22777370042914447, 0.0, [nan], 840.4372576828839, 1.0, -0.6197758538916838, -0.9355170287589472, 710.5646163754357,0.0001500000000000945, 0.00021599999999999397, 5.699999999997374e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
6, -0.9424599111684113, -0.8176381642189949, 0.0, [nan], 1370.276465099978, 1.0, -0.6197758538916838, -0.9355170287589472, 710.5646163754357,0.00015599999999982295, 0.00020700000000006824, 4.300000000001525e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
7, -0.9694762801589809, 0.8868327526999076, 0.0, [nan], 469.11935669509637, 1.0, -0.9694762801589809, 0.8868327526999076, 469.11935669509637,0.0001740000000001185, 0.00020299999999995322, 5.499999999991623e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
8, 0.5833672157444065, -0.968680654042815, 0.0, [nan], 1115.8021099186776, 1.0, -0.9694762801589809, 0.8868327526999076, 469.11935669509637,0.00012699999999998823, 0.00015399999999998748, 4.300000000001525e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
9, 0.4387047785875291, -0.4001844464846509, 0.0, [nan], 866.5798643344269, 1.0, -0.9694762801589809, 0.8868327526999076, 469.11935669509637,0.000152000000000152, 0.00017000000000000348, 4.199999999987547e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
10, 0.6803682406939935, 0.8350608019973924, 0.0, [nan], 554.6592261709909, 1.0, -0.9694762801589809, 0.8868327526999076, 469.11935669509637,0.00012500000000015277, 0.00015399999999998748, 4.300000000001525e-05, 17:39:06  12-04-20,0.0,host broman-Aspire-V5-591G
11, -0.5810120650107918, -0.9056607568648491, 0.0, [nan], 851.0412217971833, 1.0, 0.6806669506486658, 0.8292647462136784, 557.0056590840587,41.239807, 0.00036300000000011323, 0.10799899999999951, 17:39:37  12-04-20,0.0,AQvalue [0.10],HYPstats {'mean': array([4.53  0.03   0.42])  'std': array([6.33e-05  1.19e-03  1.01e-02])  'min': array([4.53  0.03  0.40])  'max': array([4.53  0.03   0.44])},HYPdraws [array([4.53  0.03  0.42])  array([4.53  0.03  0.43])  array([4.53  0.03  0.41])  array([4.53   0.03  0.42])  array([4.53  0.03  0.43])  array([4.53  0.03  0.42])  array([4.53  0.03  0.42  ])  array([4.53  0.03  0.43])  array([4.53  0.03   0.43 ])  array([4.53  0.03  0.42])  array([4.53  0.03  0.43])  array([4.53  0.03  0.43])  array([4.53  0.03  0.42])  array([4.53  0.03  0.41])  array([4.53  0.03  0.42])  array([4.53  0.03  0.44])  array([4.53  0.03  0.40])  array([4.53  0.03  0.42])  array([4.53  0.03  0.42])  array([4.53  0.03  0.41])  array([4.53  0.03  0.44])  array([4.53  0.03   0.41 ])  array([4.53  0.03  0.43])  array([4.53  0.03   0.40])  array([4.53  0.03  0.41])  array([4.53  0.03  0.41])  array([4.53  0.03  0.41])  array([4.53  0.03  0.44])],mindraws [[-0.96  0.88]; [-0.96  0.88]; [-0.96  0.88]; [-0.96  0.88 ]; [-0.96  0.88 ]; [-0.96  0.88]; [-0.96  0.89]; [-0.96  0.88]; [-0.96  0.88]; [-0.96  0.89]; [-0.97  0.88]; [-0.96  0.88 ]; [-0.96  0.88]; [-0.96  0.89]; [-0.96  0.89]; [-0.96  0.89]; [-0.96  0.89]; [-0.96  0.89]; [-0.96  0.89]; [-0.96  0.88]; [-0.96  0.88]; [-0.97  0.88]; [-0.96  0.88]; [-0.96  0.88]; [-0.96  0.89]; [-0.96  0.88]; [-0.96   0.89]; [-0.96  0.89]; [-0.97  0.89]; [-0.96  0.89]; [-0.96  0.88]; [-0.96  0.88]; [-0.96   0.88]; [-0.96  0.89]; [-0.96  0.89]; [-0.96  0.89]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-0.10],kindex 9,PIatX [0.],host broman-Aspire-V5-591Gstart [0.68 0.82],H [[445189.26    558.17]; [   558.17   3100.19]],reuseH [array([4.53  0.03  0.42])  array([4.53  0.03  0.43])  array([4.53  0.03  0.41])  array([4.53   0.03  0.42])  array([4.53  0.03  0.43])  array([4.53  0.03  0.42])  array([4.53  0.03  0.42  ])  array([4.53  0.03  0.43])  array([4.53  0.03   0.43 ])  array([4.53  0.03  0.42])  array([4.53  0.03  0.43])  array([4.53  0.03  0.43])  array([4.53  0.03  0.42])  array([4.53  0.03  0.41])  array([4.53  0.03  0.42])  array([4.53  0.03  0.44])  array([4.53  0.03  0.40])  array([4.53  0.03  0.42])  array([4.53  0.03  0.42])  array([4.53  0.03  0.41])  array([4.53  0.03  0.44])  array([4.53  0.03   0.41 ])  array([4.53  0.03  0.43])  array([4.53  0.03   0.40])  array([4.53  0.03  0.41])  array([4.53  0.03  0.41])  array([4.53  0.03  0.41])  array([4.53  0.03  0.44])],offsetEI 554.57,ppveatx 0.99,rpve 0.02,log10GRest 1.93,Gstuff [array([[-0.80   0.64] ;       [ 0.71   0.03] ;       [-0.49   0.01] ;       [-0.61  -0.93] ;       [-0.46  -0.22 ] ;       [-0.94  -0.81] ;       [-0.96   0.88] ;       [ 0.58  -0.96] ;       [ 0.43  -0.40] ;       [ 0.68   0.83 ]])  array([[1474.04] ;       [ 808.61] ;       [ 825.17] ;       [ 710.56] ;       [ 840.43] ;       [1370.27 ] ;       [ 469.11 ] ;       [1115.80] ;       [ 866.57] ;       [ 554.65]])  array([[0.] ;       [0.] ;       [0.] ;       [0.] ;       [0.] ;       [0.] ;       [0.] ;       [0.] ;       [0.] ;       [0.]])  [[nan]  [nan]  [nan]  [nan]  [nan]  [nan]  [nan]  [nan]  [nan]  [nan]]  9  array([2.  3.  3.])  array([0.5   0.15  0.15])  28  'gamma']
